periodo,Exportaciones,Importaciones
May 24,55754.041,54863.065
Jun 24,48824.268,51230.591
Jul 24,54550.711,55771.222
Ago 24,51902.528,57747.196
Sep 24,49629.743,51120.789
Oct 24,57897.71,58109.034
Nov 24,52264.794,52971.031
Dic 24,51754.359,49905.838
Ene 25,44398.267,49611.476
Feb 25,49098.535,47444.307
Mar 25,55404.972,52115.201
Abr 25,54347.764,54392.226
May 25,55476.735,54244.911
Jun 25,54001.827,53487.398
Jul 25,56707.774,56724.468
Ago 25,55718.184,57662.068
Sep 25,56487.938,58887.475
Oct 25,66132.551,65526.483
Nov 25,56411.894,55749.102
Dic 25,60650.727,58221.107
Ene 26,48007.823,54488.877
Feb 26,56851.119,57313.897
Mar 26,70727.019,64795.021
Abr 26,72041.829,67521.798
May 26 O,69544.491,67285.323
