periodo,Exportaciones,Importaciones,Saldo,Var. anual exportaciones,Var. anual importaciones,Var. anual saldo,Exportaciones petroleras,Importaciones petroleras,Exportaciones no petroleras,Importaciones no petroleras,Var. anual exp. petroleras,Var. anual imp. petroleras,Var. anual exp. no petroleras,Var. anual imp. no petroleras,Bienes de consumo,Bienes intermedios,Bienes de capital,Var. anual consumo,Var. anual intermedios,Var. anual capital,Exportaciones manufactureras,Exportaciones agropecuarias,Exportaciones extractivas,Var. anual manufactureras,Var. anual agropecuarias,Var. anual extractivas,Acum ene-mes exportaciones,Acum ene-mes importaciones,Acum ene-mes saldo
Ene 80,1111.4,1173.8,-62.4,,,,,,,,,,,,,,,,,,,,,,,,1111.4,1173.8,-62.4
Feb 80,1033.4,1185.8,-152.4,,,,,,,,,,,,,,,,,,,,,,,,2144.8,2359.6,-214.8
Mar 80,1277.3,1374.6,-97.3,,,,,,,,,,,,,,,,,,,,,,,,3422.1,3734.2,-312.1
Abr 80,1291.5,1398.6,-107.1,,,,,,,,,,,,,,,,,,,,,,,,4713.6,5132.8,-419.2
May 80,1279.7,1559.0,-279.3,,,,,,,,,,,,,,,,,,,,,,,,5993.3,6691.8,-698.5
Jun 80,1216.3,1626.9,-410.6,,,,,,,,,,,,,,,,,,,,,,,,7209.6,8318.7,-1109.1
Jul 80,1390.4,1837.9,-447.5,,,,,,,,,,,,,,,,,,,,,,,,8600.0,10156.6,-1556.6
Ago 80,1294.0,1668.1,-374.1,,,,,,,,,,,,,,,,,,,,,,,,9894.0,11824.7,-1930.7
Sep 80,1358.1,1753.5,-395.4,,,,,,,,,,,,,,,,,,,,,,,,11252.1,13578.2,-2326.1
Oct 80,1487.7,1949.6,-461.9,,,,,,,,,,,,,,,,,,,,,,,,12739.8,15527.8,-2788.0
Nov 80,1303.4,1762.0,-458.6,,,,,,,,,,,,,,,,,,,,,,,,14043.2,17289.8,-3246.6
Dic 80,1468.6,2052.1,-583.5,,,,,,,,,,,,,,,,,,,,,,,,15511.8,19341.9,-3830.1
Ene 81,1792.1,1958.2,-166.1,0.612471,0.668257,-1.661859,,,,,,,,,,,,,,,,,,,,,1792.1,1958.2,-166.1
Feb 81,1498.3,1835.7,-337.4,0.449874,0.548069,-1.213911,,,,,,,,,,,,,,,,,,,,,3290.4,3793.9,-503.5
Mar 81,2199.3,2323.5,-124.2,0.721835,0.69031,-0.276465,,,,,,,,,,,,,,,,,,,,,5489.7,6117.4,-627.7
Abr 81,2012.6,2012.2,0.4,0.558343,0.438724,1.003735,,,,,,,,,,,,,,,,,,,,,7502.3,8129.6,-627.3
May 81,1850.6,2119.1,-268.5,0.44612,0.359269,0.038668,,,,,,,,,,,,,,,,,,,,,9352.9,10248.7,-895.8
Jun 81,1506.1,2285.2,-779.1,0.238264,0.404635,-0.897467,,,,,,,,,,,,,,,,,,,,,10859.0,12533.9,-1674.9
Jul 81,979.1,2244.9,-1265.8,-0.295814,0.221448,-1.828603,,,,,,,,,,,,,,,,,,,,,11838.1,14778.8,-2940.7
Ago 81,1453.5,1923.2,-469.7,0.123261,0.152928,-0.255547,,,,,,,,,,,,,,,,,,,,,13291.6,16702.0,-3410.4
Sep 81,1773.6,1880.8,-107.2,0.305942,0.072598,0.728882,,,,,,,,,,,,,,,,,,,,,15065.2,18582.8,-3517.6
Oct 81,1599.8,2346.7,-746.9,0.075351,0.203683,-0.617017,,,,,,,,,,,,,,,,,,,,,16665.0,20929.5,-4264.5
Nov 81,1859.0,1958.0,-99.0,0.42627,0.111237,0.784126,,,,,,,,,,,,,,,,,,,,,18524.0,22887.5,-4363.5
Dic 81,1578.0,2067.6,-489.6,0.074493,0.007553,0.160925,,,,,,,,,,,,,,,,,,,,,20102.0,24955.1,-4853.1
Ene 82,1502.7,1699.1,-196.4,-0.161487,-0.132315,-0.18242,,,,,,,,,,,,,,,,,,,,,1502.7,1699.1,-196.4
Feb 82,1441.0,1700.2,-259.2,-0.038243,-0.073814,0.231772,,,,,,,,,,,,,,,,,,,,,2943.7,3399.3,-455.6
Mar 82,1483.9,1877.0,-393.1,-0.325285,-0.192167,-2.165056,,,,,,,,,,,,,,,,,,,,,4427.6,5276.3,-848.7
Abr 82,1450.6,1560.6,-110.0,-0.279241,-0.224431,-276.0,,,,,,,,,,,,,,,,,,,,,5878.2,6836.9,-958.7
May 82,1772.6,1272.2,500.4,-0.042148,-0.399651,2.863687,,,,,,,,,,,,,,,,,,,,,7650.8,8109.1,-458.3
Jun 82,1881.3,1434.1,447.2,0.24912,-0.37244,1.573996,,,,,,,,,,,,,,,,,,,,,9532.1,9543.2,-11.1
Jul 82,1918.3,1313.3,605.0,0.959248,-0.414985,1.477959,,,,,,,,,,,,,,,,,,,,,11450.4,10856.5,593.9
Ago 82,1860.4,1109.2,751.2,0.279945,-0.423253,2.599319,,,,,,,,,,,,,,,,,,,,,13310.8,11965.7,1345.1
Sep 82,1869.8,839.5,1030.3,0.05424,-0.553647,10.611007,,,,,,,,,,,,,,,,,,,,,15180.6,12805.2,2375.4
Oct 82,1967.7,881.1,1086.6,0.229966,-0.624537,2.454813,,,,,,,,,,,,,,,,,,,,,17148.3,13686.3,3462.0
Nov 82,2096.3,636.5,1459.8,0.127649,-0.674923,15.745455,,,,,,,,,,,,,,,,,,,,,19244.6,14322.8,4921.8
Dic 82,1985.0,713.7,1271.3,0.257921,-0.654817,3.596609,,,,,,,,,,,,,,,,,,,,,21229.6,15036.5,6193.1
Ene 83,1919.5,478.0,1441.5,0.277367,-0.718675,8.339613,,,,,,,,,,,,,,,,,,,,,1919.5,478.0,1441.5
Feb 83,1495.1,553.5,941.6,0.037543,-0.67445,4.632716,,,,,,,,,,,,,,,,,,,,,3414.6,1031.5,2383.1
Mar 83,1766.9,761.8,1005.1,0.190714,-0.59414,3.556856,,,,,,,,,,,,,,,,,,,,,5181.5,1793.3,3388.2
Abr 83,1811.3,722.1,1089.2,0.248656,-0.537293,10.901818,,,,,,,,,,,,,,,,,,,,,6992.8,2515.4,4477.4
May 83,1896.8,829.8,1067.0,0.070067,-0.347744,1.132294,,,,,,,,,,,,,,,,,,,,,8889.6,3345.2,5544.4
Jun 83,1859.9,897.0,962.9,-0.011375,-0.374521,1.153175,,,,,,,,,,,,,,,,,,,,,10749.5,4242.2,6507.3
Jul 83,1781.3,858.8,922.5,-0.071417,-0.346075,0.524793,,,,,,,,,,,,,,,,,,,,,12530.8,5101.0,7429.8
Ago 83,1906.4,879.6,1026.8,0.024726,-0.206996,0.36688,,,,,,,,,,,,,,,,,,,,,14437.2,5980.6,8456.6
