periodo,Índice de volumen físico,Var. mensual total (%),Var. anual total (%),Var. anual original total (%),Acumulado ene-mes total (%),Var. mensual nacional (%),Var. anual nacional (%),Var. mensual bienes nacionales (%),Var. anual bienes nacionales (%),Var. mensual servicios nacionales (%),Var. anual servicios nacionales (%),Var. mensual importado (%),Var. anual importado (%),Var. mensual bienes importados (%),Var. anual bienes importados (%),Var. anual original nacional (%),Acumulado ene-mes nacional (%),Var. anual original bienes nacionales (%),Acumulado ene-mes bienes nacionales (%),Var. anual original servicios nacionales (%),Acumulado ene-mes servicios nacionales (%),Var. anual original importado (%),Acumulado ene-mes importado (%),Var. anual original bienes importados (%),Acumulado ene-mes bienes importados (%),Var. anual original bienes duraderos nacionales (%),Acumulado ene-mes bienes duraderos nacionales (%),Var. anual original bienes semi duraderos nacionales (%),Acumulado ene-mes bienes semi duraderos nacionales (%),Var. anual original bienes no duraderos nacionales (%),Acumulado ene-mes bienes no duraderos nacionales (%),Var. anual original bienes duraderos importados (%),Acumulado ene-mes bienes duraderos importados (%),Var. anual original bienes semi duraderos importados (%),Acumulado ene-mes bienes semi duraderos importados (%),Var. anual original bienes no duraderos importados (%),Acumulado ene-mes bienes no duraderos importados (%)
Oct 24,110.5,-0.007,0.005,,,-0.01,-0.002,-0.015,-0.017,-0.003,0.016,-0.005,0.041,-0.005,0.041,0.007,0.014,-0.001,0.007,0.015,0.022,0.06,0.166,0.06,0.166,0.08,0.1,-0.003,0.002,-0.011,-0.004,0.018,0.179,0.274,0.246,-0.006,0.123
Nov 24,111.0,0.005,0.007,0.003,0.032,0.004,0.011,0.005,0.008,0.001,0.014,0.017,0.016,0.017,0.016,0.01,0.014,0.007,0.007,0.014,0.021,-0.007,0.148,-0.007,0.148,0.151,0.105,-0.012,0.001,-0.008,-0.005,-0.049,0.154,0.144,0.236,-0.042,0.106
Dic 24,109.4,-0.011,-0.008,-0.007,0.028,-0.008,0.001,-0.018,-0.019,0.004,0.023,-0.042,-0.051,-0.042,-0.051,-0.001,0.012,-0.021,0.004,0.023,0.021,-0.015,0.134,-0.015,0.134,0.002,0.096,-0.004,0.001,-0.027,-0.007,-0.155,0.126,0.089,0.223,0.033,0.1
Ene 25,108.6,-0.003,-0.009,,,-0.003,0.002,-0.004,-0.008,0.002,0.013,-0.001,-0.054,-0.001,-0.054,,,,,,,,,,,,,,,,,,,,,,
Feb 25,110.2,0.012,-0.007,-0.019,-0.016,0.012,0.007,0.021,0.008,0.003,0.01,0.027,-0.053,0.027,-0.053,-0.001,0.0,-0.005,-0.007,0.003,0.009,-0.092,-0.086,-0.092,-0.086,0.1,0.062,0.005,-0.017,-0.022,-0.015,-0.119,-0.127,-0.061,-0.019,-0.09,-0.091
Mar 25,110.2,-0.002,-0.013,0.012,-0.006,-0.005,-0.004,-0.005,-0.01,-0.005,0.005,0.004,-0.061,0.004,-0.061,0.016,0.006,0.027,0.005,0.004,0.008,0.016,-0.052,0.016,-0.052,0.054,0.059,0.083,0.017,0.012,-0.006,-0.005,-0.086,0.04,0.0,0.018,-0.054
Abr 25,111.6,0.011,0.007,-0.017,-0.009,0.015,0.031,0.02,0.045,0.007,0.013,-0.01,-0.083,-0.01,-0.083,0.011,0.007,0.009,0.006,0.013,0.009,-0.143,-0.077,-0.143,-0.077,0.039,0.054,0.012,0.015,0.004,-0.003,-0.188,-0.116,-0.067,-0.017,-0.144,-0.079
May 25,110.1,-0.01,-0.009,-0.016,-0.011,-0.013,0.003,-0.024,-0.007,-0.001,0.013,0.003,-0.053,0.003,-0.053,-0.004,0.005,-0.019,0.0,0.013,0.01,-0.071,-0.076,-0.071,-0.076,-0.008,0.041,-0.017,0.008,-0.021,-0.007,-0.116,-0.116,-0.128,-0.041,-0.014,-0.066
Jun 25,111.5,0.008,0.011,0.016,-0.005,0.0,0.005,0.003,-0.007,-0.001,0.017,0.049,0.044,0.049,0.044,0.006,0.007,-0.005,-0.001,0.017,0.015,0.082,-0.053,0.082,-0.053,0.001,0.033,-0.006,0.006,-0.005,-0.007,0.005,-0.102,0.039,-0.028,0.145,-0.032
Jul 25,111.2,-0.003,-0.001,0.001,-0.004,-0.005,-0.007,-0.007,-0.021,-0.003,0.007,0.017,0.055,0.017,0.055,-0.007,0.005,-0.02,-0.003,0.007,0.013,0.051,-0.037,0.051,-0.037,-0.079,0.017,-0.007,0.004,-0.014,-0.008,-0.001,-0.087,0.005,-0.023,0.107,-0.011
