periodo,Tasa de desocupación (%),Tasa de participación (%),Tasa de informalidad laboral 1 (%),Tasa de subocupación (%),Población ocupada (millones de personas),Población ocupada (personas)
Ene 18,3.364517,59.046013,56.916034,7.000563,52.253036,52253036.0
Feb 18,3.173574,59.209673,56.354829,6.266172,,
Mar 18,2.937211,59.113431,56.480453,6.84393,,
Abr 18,3.386516,59.481548,56.440433,7.11,53.205163,53205163.0
May 18,3.223703,60.152678,56.617137,7.102237,,
Jun 18,3.373504,59.844343,56.320885,6.693838,,
Jul 18,3.472051,59.791741,56.753537,7.106279,53.483093,53483093.0
Ago 18,3.45726,60.054514,56.695026,7.373657,,
Sep 18,3.581227,59.598593,56.155985,6.637874,,
Oct 18,3.265938,59.420827,55.808527,6.900635,53.705872,53705872.0
Nov 18,3.248481,60.027049,57.064916,6.834767,,
Dic 18,3.358366,59.522655,56.584476,6.494008,,
Ene 19,3.563302,59.306168,56.464509,6.80502,53.714758,53714758.0
Feb 19,3.293564,59.298864,57.499623,6.315581,,
Mar 19,3.223913,60.053019,56.533358,6.804934,,
Abr 19,3.498489,59.758411,56.24954,7.740641,54.549769,54549769.0
May 19,3.501957,60.253945,56.034385,7.685463,,
Jun 19,3.56515,60.575741,56.232594,7.475064,,
Jul 19,3.736801,60.54807,56.103232,7.83611,54.848407,54848407.0
Ago 19,3.706726,60.477838,56.286051,7.431028,,
Sep 19,3.780859,60.169709,56.481424,7.801007,,
Oct 19,3.691382,60.292051,56.043479,7.706281,55.345261,55345261.0
Nov 19,3.418223,60.618629,55.949132,8.162853,,
Dic 19,2.905177,60.202267,55.985652,6.937417,,
Ene 20,3.779704,59.821448,56.090148,7.385867,55.05845,55058450.0
Feb 20,3.530188,60.178852,56.106063,8.632665,,
Mar 20,2.908969,59.807992,55.537911,9.059552,,
Abr 20,4.686441,47.17972,47.887397,25.40378,44.715068,44715067.666667
May 20,4.192756,47.447129,51.836731,29.94159,,
Jun 20,5.492159,53.111205,53.027107,20.051608,,
Jul 20,5.350869,54.992563,54.979852,18.339857,50.810713,50810713.0
Ago 20,5.257507,55.123265,55.00344,16.861652,,
Sep 20,5.12847,55.688833,54.887539,15.574149,,
Oct 20,4.708477,57.477385,55.86088,14.889134,53.124071,53124071.0
Nov 20,4.353693,56.928332,56.18434,15.803526,,
Dic 20,3.790374,56.515036,55.667354,14.117299,,
Ene 21,4.702677,56.220516,55.529352,14.822931,52.97327,52973270.0
Feb 21,4.397394,56.760047,55.336492,13.809624,,
Mar 21,3.870291,57.284001,56.660104,13.022864,,
Abr 21,4.652681,59.053431,55.591673,13.712402,55.242748,55242748.0
May 21,3.993946,58.695716,55.538756,12.875162,,
Jun 21,4.023772,58.480586,55.373765,12.362639,,
Jul 21,4.382247,59.914953,56.382507,13.231025,55.83623,55836230.0
Ago 21,4.326319,59.391912,56.355957,13.014263,,
Sep 21,4.184966,58.352771,56.17719,12.278231,,
Oct 21,3.949786,59.443991,55.611833,11.072339,56.611211,56611211.0
Nov 21,3.664898,59.559287,55.638266,10.48903,,
Dic 21,3.514471,59.513915,56.487632,10.006155,,
Ene 22,3.706941,58.334265,54.854561,9.096994,56.079123,56079123.0
Feb 22,3.741218,58.704869,54.617147,9.223545,,
Mar 22,2.970057,58.838103,55.785997,8.423329,,
Abr 22,3.034145,60.064497,55.531939,9.023563,57.420677,57420677.0
May 22,3.270451,59.606624,55.60542,8.478477,,
Jun 22,3.34871,59.80334,55.842268,8.893289,,
Jul 22,3.434004,60.006548,55.411656,8.254404,57.440441,57440441.0
Ago 22,3.533439,59.998245,55.456146,7.889792,,
Sep 22,3.336178,59.635154,55.580072,7.880164,,
Oct 22,3.299988,60.696801,55.37724,7.468577,58.349353,58349353.0
Nov 22,2.846772,60.813189,55.166176,7.587039,,
Dic 22,2.763351,59.692965,54.902761,7.257059,,
Ene 23,2.999661,60.283485,54.815006,7.683689,58.492126,58492126.0
Feb 23,2.720432,60.183931,55.494593,7.379471,,
Mar 23,2.392541,60.454729,54.98653,6.824846,,
Abr 23,2.822799,60.356393,54.700335,8.396943,58.52199,58521990.0
May 23,2.931125,60.01101,55.169572,8.090506,,
Jun 23,2.652033,60.115145,55.486488,7.860973,,
Jul 23,3.12987,60.87252,55.713385,8.064282,59.167472,59167472.0
Ago 23,2.955346,60.533479,55.248993,7.908474,,
Sep 23,2.877421,60.357718,54.303345,8.170244,,
Oct 23,2.745996,60.459268,55.40583,7.863639,59.403947,59403947.0
Nov 23,2.712708,60.959679,54.730362,8.209669,,
Dic 23,2.61376,59.866851,53.626856,7.632108,,
Ene 24,2.853024,59.772911,54.11355,7.078092,59.120905,59120905.0
Feb 24,2.454003,60.17459,54.467561,6.467305,,
Mar 24,2.282067,60.169544,54.303549,6.519986,,
Abr 24,2.610737,60.477015,54.555735,7.735678,59.327161,59327161.0
May 24,2.621775,60.535248,54.448946,7.425446,,
Jun 24,2.775024,59.836994,53.838213,7.501859,,
Jul 24,2.927401,61.041278,54.516061,8.052058,59.528249,59528249.0
Ago 24,3.037372,60.192452,54.303891,7.99311,,
Sep 24,2.922514,59.974784,54.240017,8.171984,,
Oct 24,2.500182,60.230403,54.131321,9.379963,59.487546,59487546.0
Nov 24,2.638833,60.045171,54.630964,8.855615,,
Dic 24,2.432341,59.320476,53.651825,6.862197,,
Ene 25,2.699951,59.36401,54.136601,6.94748,59.001009,59001009.0
Feb 25,2.51142,58.714231,54.510303,6.259252,,
Mar 25,2.222196,59.343805,54.337696,6.601645,,
Abr 25,2.539106,59.369192,54.671184,7.146182,59.44076,59440760.0
May 25,2.746314,59.451546,54.920523,7.094072,,
Jun 25,2.687124,59.797354,54.768222,7.354796,,
Jul 25,2.772825,60.176973,56.117157,7.34019,59.533449,59533449.0
Ago 25,2.932245,58.824828,54.825008,7.053359,,
Sep 25,2.978907,59.568499,54.879891,7.278606,,
Oct 25,2.608456,59.912373,55.655124,7.528537,59.785854,59785854.0
Nov 25,2.663619,58.954439,54.793253,7.189759,,
