periodo,Producción (índice),Producción var. mensual original (%),Producción var. anual original (%),Producción var. mensual desest. (%),Producción var. anual desest. (%),Personal ocupado (índice),Personal var. mensual original (%),Personal var. anual original (%),Personal var. mensual desest. (%),Personal var. anual desest. (%),Horas trabajadas (índice),Horas var. mensual original (%),Horas var. anual original (%),Horas var. mensual desest. (%),Horas var. anual desest. (%),Remuneraciones medias reales (índice),Remuneraciones var. mensual desest. (%),Remuneraciones var. anual desest. (%)
Ene 07,90.3,,,,,82.0,,,,,82.4,,,,,,,
Feb 07,85.6,-0.052049,,,,81.4,-0.007317,,,,77.7,-0.057039,,,,,,
Mar 07,95.4,0.114486,,,,81.4,0.0,,,,84.0,0.081081,,,,,,
Abr 07,88.9,-0.068134,,,,81.4,0.0,,,,78.7,-0.063095,,,,,,
May 07,95.0,0.068616,,,,81.5,0.001229,,,,83.7,0.063532,,,,,,
Jun 07,92.9,-0.022105,,,,81.1,-0.004908,,,,82.8,-0.010753,,,,,,
Jul 07,90.2,-0.029064,,,,81.3,0.002466,,,,82.1,-0.008454,,,,,,
Ago 07,95.5,0.058758,,,,81.8,0.00615,,,,86.4,0.052375,,,,,,
Sep 07,88.5,-0.073298,,,,81.5,-0.003667,,,,82.1,-0.049769,,,,,,
Oct 07,95.0,0.073446,,,,82.0,0.006135,,,,85.8,0.045067,,,,,,
Nov 07,90.5,-0.047368,,,,81.7,-0.003659,,,,82.5,-0.038462,,,,,,
Dic 07,85.0,-0.060773,,,,81.1,-0.007344,,,,76.4,-0.073939,,,,,,
Ene 08,92.2,0.084706,0.021041,,,82.0,0.011097,0.0,,,83.1,0.087696,0.008495,,,,,
Feb 08,88.0,-0.045553,0.028037,,,82.3,0.003659,0.011057,,,80.2,-0.034898,0.032175,,,,,
Mar 08,89.6,0.018182,-0.060797,,,82.0,-0.003645,0.007371,,,80.2,0.0,-0.045238,,,,,
Abr 08,94.8,0.058036,0.066367,,,81.9,-0.00122,0.006143,,,83.6,0.042394,0.062262,,,,,
May 08,93.0,-0.018987,-0.021053,,,82.1,0.002442,0.007362,,,83.5,-0.001196,-0.002389,,,,,
Jun 08,91.0,-0.021505,-0.020452,,,81.2,-0.010962,0.001233,,,82.2,-0.015569,-0.007246,,,,,
Jul 08,88.3,-0.02967,-0.021064,,,81.3,0.001232,0.0,,,84.5,0.027981,0.029233,,,,,
Ago 08,90.4,0.023783,-0.053403,,,80.8,-0.00615,-0.012225,,,82.5,-0.023669,-0.045139,,,,,
Sep 08,87.7,-0.029867,-0.00904,,,80.1,-0.008663,-0.017178,,,81.2,-0.015758,-0.010962,,,,,
Oct 08,91.5,0.04333,-0.036842,,,79.5,-0.007491,-0.030488,,,84.4,0.039409,-0.016317,,,,,
Nov 08,83.1,-0.091803,-0.081768,,,78.4,-0.013836,-0.040392,,,77.1,-0.086493,-0.065455,,,,,
Dic 08,80.2,-0.034898,-0.056471,,,76.9,-0.019133,-0.051788,,,71.8,-0.068742,-0.060209,,,,,
Ene 09,78.9,-0.016209,-0.144252,,,75.3,-0.020806,-0.081707,,,74.5,0.037604,-0.10349,,,,,
Feb 09,75.9,-0.038023,-0.1375,,,74.3,-0.01328,-0.097205,,,70.1,-0.05906,-0.125935,,,,,
Mar 09,81.0,0.067194,-0.095982,,,73.6,-0.009421,-0.102439,,,73.9,0.054208,-0.078554,,,,,
Abr 09,79.1,-0.023457,-0.165612,,,73.5,-0.001359,-0.102564,,,72.3,-0.021651,-0.135167,,,,,
May 09,78.7,-0.005057,-0.153763,,,73.2,-0.004082,-0.108404,,,71.5,-0.011065,-0.143713,,,,,
Jun 09,78.3,-0.005083,-0.13956,,,73.2,0.0,-0.098522,,,73.7,0.030769,-0.103406,,,,,
Jul 09,81.3,0.038314,-0.079275,,,72.6,-0.008197,-0.107011,,,76.3,0.035278,-0.097041,,,,,
