periodo,IGOEC,Cambio mensual IGOEC (puntos),Cambio anual IGOEC (puntos),Manufacturas,Construcción,Comercio,Servicios privados no financieros
Ene 18,48.793,-0.848,,,,,
Feb 18,48.915,0.122,,,,,
Mar 18,49.835,0.92,,,,,
Abr 18,49.838,0.003,,,,,
May 18,48.983,-0.855,,,,,
Jun 18,48.205,-0.778,,,,,
Jul 18,52.559,4.354,,,,,
Ago 18,53.213,0.654,,,,,
Sep 18,52.072,-1.141,,,,,
Oct 18,51.576,-0.496,,,,,
Nov 18,50.112,-1.464,,,,,
Dic 18,50.667,0.555,,,,,
Ene 19,52.079,1.412,3.286,,,,
Feb 19,52.583,0.504,0.76415,,,,
Mar 19,52.754,0.171,-1.641393,,,,
Abr 19,52.774,0.02,0.033758,,,,
May 19,51.361,-1.413,-1.036342,,,,
Jun 19,50.469,-0.892,-0.158137,,,,
Jul 19,49.476,-0.993,-10.562397,,,,
Ago 19,48.952,-0.524,-2.141653,,,,
Sep 19,49.794,0.842,3.63273,,,,
Oct 19,48.495,-1.299,-1.598997,,,,
Nov 19,47.736,-0.759,1.232329,,,,
Dic 19,48.16,0.424,-0.206614,,,,
Ene 20,47.22,-0.94,-4.382062,,,,
Feb 20,48.291,1.071,1.167722,,,,
Mar 20,43.907,-4.384,-8.607958,,,,
Abr 20,35.66,-8.247,-15.658555,,,,
May 20,33.9,-1.76,-1.567765,,,,
Jun 20,36.409,2.509,6.137927,,,,
Jul 20,38.54,2.131,5.755039,,,,
Ago 20,37.923,-0.617,-0.426587,,,,
Sep 20,38.821,0.898,0.493442,,,,
Oct 20,40.066,1.245,4.655618,,,,
Nov 20,39.902,-0.164,0.970079,,,,
Dic 20,41.074,1.172,1.697639,,,,
Ene 21,40.966,-0.108,1.469067,,,,
Feb 21,42.167,1.201,0.562936,,,,
Mar 21,45.128,2.961,15.46233,,,,
Abr 21,47.308,2.18,29.883172,,,,
May 21,49.07,1.762,12.085213,,,,
Jun 21,51.243,2.173,-4.006589,,,,
Jul 21,51.16,-0.083,-7.997474,,,,
Ago 21,49.766,-1.394,-1.51613,,,,
Sep 21,51.195,1.429,0.645431,,,,
Oct 21,52.023,0.828,-2.031242,,,,
Nov 21,53.469,1.446,4.157543,,,,
Dic 21,54.903,1.434,-0.332301,,,,
Ene 22,51.463,-3.44,-8.044813,,,,
Feb 22,52.042,0.579,-2.204901,,,,
Mar 22,51.958,-0.084,-8.284059,,,,
Abr 22,53.543,1.585,-1.955139,,,,
May 22,52.941,-0.602,-5.290859,,,,
Jun 22,51.509,-1.432,-7.369635,,,,
Jul 22,50.453,-1.056,-1.901034,,,,
Ago 22,48.452,-2.001,-1.258418,,,,
Sep 22,47.964,-0.488,-3.670806,,,,
Oct 22,49.848,1.884,2.13032,,,,
Nov 22,49.603,-0.245,-3.049515,,,,
Dic 22,47.402,-2.201,-6.431919,,,,
Ene 23,48.55,1.148,8.0019,,,,
Feb 23,51.775,3.225,5.14733,,,,
Mar 23,53.611,1.836,3.694463,,,,
Abr 23,54.776,1.165,-0.878594,,,,
May 23,55.68,0.904,2.870862,,,,
Jun 23,54.955,-0.725,1.516409,,,,
Jul 23,56.536,1.581,5.366673,,,,
Ago 23,56.436,-0.1,4.421398,,,,
Sep 23,56.361,-0.075,1.028716,,,,
Oct 23,55.449,-0.912,-6.270722,,,,
Nov 23,56.048,0.599,1.757008,,,,
Dic 23,56.168,0.12,5.499725,,,,
Ene 24,55.971,-0.197,-3.207618,,,,
Feb 24,54.975,-0.996,-9.104684,,,,
Mar 24,54.757,-0.218,-4.042968,,,,
Abr 24,54.957,0.2,-1.807184,,,,
May 24,54.636886,-0.320114,-2.203846,,,,
Jun 24,53.149893,-1.486992,-1.41129,,,,
Jul 24,53.492096,0.342203,-2.099311,,,,
Ago 24,52.740526,-0.75157,-1.16407,,,,
Sep 24,50.985505,-1.755021,-2.989536,,,,
Oct 24,51.906183,0.920679,3.14829,,,,
Nov 24,51.484636,-0.421547,-1.75256,,,,
Dic 24,51.89662,0.411983,0.537234,,,,
Ene 25,51.374907,-0.521713,-0.606911,,,,
Feb 25,50.117443,-1.257464,-0.624376,,,,
Mar 25,49.337817,-0.779626,-1.060847,,,,
Abr 25,48.689455,-0.648362,-1.507667,,,,
May 25,48.722203,0.032747,0.579012,,,,
Jun 25,48.623622,-0.098581,2.30939,,,,
Jul 25,48.968333,0.344711,0.059169,,,,
Ago 25,49.302657,0.334323,1.938422,,,,
Sep 25,49.319399,0.016742,3.250656,,,,
Oct 25,48.512276,-0.807123,-3.270739,,,,
Nov 25,48.303114,-0.209162,0.358984,,,,
Dic 25,48.14813,-0.154983,-1.043436,,,,
Ene 26,48.00424,-0.14389,0.662073,,,,
Feb 26,48.796111,0.791872,3.92445,,,,
Mar 26,48.442274,-0.353837,0.821345,,,,
Abr 26,48.357206,-0.085068,1.13274,,,,
May 26,48.225992,-0.131213,-0.336063,,,,
Jun 26,48.156973,-0.069019,0.058732,,,,
Jul 26,48.203612,0.046638,-0.60195,,,,
Ago 26,48.232912,0.029301,-0.608084,,,,
