periodo,Flujo trimestral,Nuevas inversiones,Reinversión de utilidades,Cuentas entre compañías,Var. anual flujo
2T-99,,,,,
3T-99,,,,,
4T-99,,,,,
1T-00,4600.64,,,,
2T-00,4857.42,,,,
3T-00,3056.95,,,,
4T-00,5733.68,,,,
1T-01,3598.68,,,,-0.22
2T-01,5218.83,,,,0.07
3T-01,16314.05,,,,4.34
4T-01,4925.63,,,,-0.14
1T-02,5067.98,,,,0.41
2T-02,6258.52,,,,0.2
3T-02,6114.34,,,,-0.63
4T-02,6658.37,,,,0.35
1T-03,3963.69,,,,-0.22
2T-03,5547.34,,,,-0.11
3T-03,2521.68,,,,-0.59
4T-03,6217.27,,,,-0.07
1T-04,9363.46,,,,1.36
2T-04,4351.5,,,,-0.22
3T-04,3284.91,,,,0.3
4T-04,8015.7,,,,0.29
1T-05,6761.62,,,,-0.28
2T-05,6773.62,,,,0.56
3T-05,5478.92,,,,0.67
4T-05,6781.66,,,,-0.15
1T-06,7437.86,,,,0.1
2T-06,6634.31,,,,-0.02
3T-06,2346.72,,,,-0.57
4T-06,4817.96,,,,-0.29
1T-07,10815.78,,,,0.45
2T-07,6137.64,,,,-0.07
3T-07,7628.66,,,,2.25
4T-07,7811.96,,,,0.62
1T-08,8554.83,,,,-0.21
2T-08,8377.56,,,,0.36
3T-08,5644.14,,,,-0.26
4T-08,6945.7,,,,-0.11
1T-09,6105.3,,,,-0.29
2T-09,6094.49,,,,-0.27
3T-09,2398.04,,,,-0.58
4T-09,3253.43,,,,-0.53
1T-10,8722.79,,,,0.43
2T-10,9301.62,,,,0.53
3T-10,3942.08,,,,0.64
4T-10,5232.51,,,,0.61
1T-11,8431.22,,,,-0.03
2T-11,6697.45,,,,-0.28
3T-11,4349.9,,,,0.1
4T-11,6154.01,,,,0.18
1T-12,7893.19,,,,-0.06
2T-12,5622.13,,,,-0.16
3T-12,5736.59,,,,0.32
4T-12,2518.22,,,,-0.59
1T-13,10571.58,,,,0.34
2T-13,21019.15,,,,2.74
3T-13,4179.16,,,,-0.27
4T-13,12587.22,,,,4.0
1T-14,13828.01,,,,0.31
2T-14,5479.83,,,,-0.74
3T-14,3222.12,,,,-0.23
4T-14,7822.45,,,,-0.38
1T-15,12136.46,,,,-0.12
2T-15,6656.85,,,,0.21
3T-15,9635.92,,,,1.99
4T-15,7516.39,,,,-0.04
1T-16,12805.81,,,,0.06
2T-16,6210.67,,,,-0.07
3T-16,4320.1,,,,-0.55
4T-16,7855.77,,,,0.05
1T-17,13796.27,,,,0.08
2T-17,6837.92,,,,0.1
3T-17,6367.72,,,,0.47
4T-17,7062.67,,,,-0.1
1T-18,14075.43,,,,0.02
2T-18,9579.73,,,,0.4
3T-18,4133.53,,,,-0.35
4T-18,6325.44,,,,-0.1
1T-19,15213.12,,,,0.08
2T-19,6681.61,,,,-0.3
3T-19,8218.74,,,,0.99
4T-19,4685.06,,,,-0.26
1T-20,16783.71,,,,0.1
2T-20,7377.65,,,,0.1
3T-20,1339.34,,,,-0.84
4T-20,2783.55,,,,-0.41
1T-21,16503.34,,,,-0.02
2T-21,5927.4,,,,-0.2
3T-21,6439.84,,,,3.81
4T-21,4984.47,,,,0.79
1T-22,22783.26,,,,0.38
2T-22,8382.12,,,,0.41
3T-22,3450.38,,,,-0.46
4T-22,1804.83,,,,-0.64
1T-23,23658.92,,,,0.04
2T-23,8512.41,,,,0.02
3T-23,3043.69,,,,-0.12
4T-23,1292.36,,,,-0.28
1T-24,27218.64,,,,0.15
2T-24,6490.68,,,,-0.24
3T-24,3075.28,,,,0.01
4T-24,1184.56,,,,-0.08
1T-25,24061.16,,,,-0.12
2T-25,13958.56,,,,1.15
3T-25,7886.47,,,,1.56
4T-25,-3989.51,,,,-4.37
1T-26,24503.05,,,,0.02
2T-26,10464.95,654.37,6870.96,2939.62,-0.04
