periodo,IGAE (índice),Var. mensual desest. (%),Var. anual original (%),Act. primarias (índice),Var. anual act. primarias (%),Act. secundarias (índice),Var. anual act. secundarias (%),Act. terciarias (índice),Var. anual act. terciarias (%)
Ene 93,55.434736,,,58.796198,,63.307782,,50.775258,
Feb 93,56.456971,,,60.763816,,64.88913,,51.427224,
Mar 93,58.900549,,,55.964953,,68.070475,,53.855214,
Abr 93,57.135844,,,58.989164,,64.524614,,52.835475,
May 93,57.891853,,,61.762078,,64.382808,,53.989113,
Jun 93,57.475466,,,63.641132,,62.471146,,54.294218,
Jul 93,57.90238,,,72.628654,,64.791953,,53.168398,
Ago 93,57.123934,,,57.488221,,66.301834,,51.890224,
Sep 93,58.482049,,,54.105257,,67.703709,,53.487617,
Oct 93,57.579434,,,54.984773,,66.405456,,52.710455,
Nov 93,57.757268,,,64.981167,,65.323065,,53.057135,
Dic 93,60.32139,,,78.532103,,67.828452,,55.042525,
Ene 94,57.732603,,0.041452,54.399719,-0.074775,67.233638,0.062012,52.521317,0.034388
Feb 94,57.413074,,0.016935,60.386882,-0.006203,66.030834,0.017595,52.352166,0.017985
Mar 94,59.741928,,0.014285,57.876105,0.034149,68.839545,0.011298,54.678066,0.015279
Abr 94,60.613631,,0.060869,60.792258,0.030567,70.598398,0.094131,54.931933,0.039679
May 94,60.687763,,0.048295,64.348821,0.041882,67.492023,0.048293,56.618706,0.048706
Jun 94,60.469355,,0.05209,72.368576,0.137135,66.1263,0.058509,56.593056,0.04234
Jul 94,58.964923,,0.018351,59.534143,-0.180294,66.970508,0.033624,54.385718,0.022896
Ago 94,60.071263,,0.051595,57.685553,0.003433,70.29284,0.060195,54.397912,0.048327
Sep 94,61.568618,,0.052778,52.554664,-0.028659,71.280581,0.052831,56.554021,0.057329
Oct 94,60.756613,,0.055179,58.846286,0.070229,69.407061,0.045201,55.949241,0.061445
Nov 94,61.713558,,0.068499,66.410939,0.022003,68.558139,0.049524,57.563862,0.084941
Dic 94,62.337896,,0.033429,74.928083,-0.045892,69.027889,0.017683,57.836289,0.050756
Ene 95,60.281453,,0.044149,62.082506,0.141228,69.406277,0.032315,54.997849,0.047153
Feb 95,55.690948,,-0.029995,52.076421,-0.13762,62.313712,-0.056294,52.130326,-0.004237
Mar 95,57.816146,,-0.032235,55.809331,-0.03571,64.036318,-0.069774,54.394644,-0.005183
Abr 95,53.941802,,-0.110071,63.228332,0.040072,57.774971,-0.181639,51.247039,-0.067081
May 95,55.497633,,-0.085522,54.522148,-0.152709,59.050096,-0.12508,53.534039,-0.054481
Jun 95,55.577421,,-0.080899,67.396418,-0.068706,57.855715,-0.125073,53.624799,-0.052449
Jul 95,54.658901,,-0.073027,63.796343,0.071593,58.99157,-0.119141,51.688707,-0.04959
Ago 95,55.827892,,-0.070639,66.746633,0.157077,61.106599,-0.130685,52.22107,-0.040017
Sep 95,56.933469,,-0.075284,56.512327,0.075306,62.397552,-0.124621,53.853115,-0.047758
Oct 95,55.489353,,-0.086694,53.29974,-0.094255,59.264742,-0.146128,53.466769,-0.04437
Nov 95,57.581338,,-0.066958,68.662907,0.03391,62.729575,-0.085016,54.039557,-0.061224
Dic 95,60.102526,,-0.035859,85.599373,0.14242,66.667197,-0.034199,54.95305,-0.049852
Ene 96,59.121461,,-0.019243,63.661007,0.025426,66.786658,-0.037743,54.514416,-0.00879
Feb 96,58.002645,,0.041509,62.237524,0.195119,66.052964,0.060007,53.19381,0.0204
Mar 96,59.423973,,0.027809,61.05098,0.093921,67.865918,0.059804,54.537967,0.002635
Abr 96,58.284342,,0.080504,57.905603,-0.084183,64.753309,0.120785,54.630811,0.066029
May 96,60.553226,,0.091096,64.36945,0.180611,67.471183,0.142609,56.41094,0.05374
Jun 96,59.594986,,0.072288,71.130131,0.055399,66.103256,0.142554,55.255382,0.030407
Jul 96,60.15472,,0.100548,71.30959,0.117769,68.416237,0.159763,54.840388,0.060974
Ago 96,59.574125,,0.067103,57.436866,-0.139479,69.224042,0.132841,54.211657,0.038118
Sep 96,60.489852,,0.062466,55.282801,-0.021757,69.391123,0.112081,55.72367,0.034734
Oct 96,61.876058,,0.115098,55.108991,0.033945,71.567421,0.207589,56.747984,0.061369
Nov 96,62.316299,,0.082231,82.050532,0.194976,70.510783,0.124044,56.562072,0.046679
Dic 96,63.345619,,0.053959,76.159916,-0.110275,72.214003,0.083201,57.594112,0.04806
Ene 97,61.989496,,0.048511,64.969981,0.020562,71.347003,0.068282,56.508009,0.03657
Feb 97,60.62307,,0.045178,60.878202,-0.021841,70.495138,0.067252,55.001127,0.033976
Mar 97,61.061186,,0.027551,61.898049,0.013875,70.133809,0.033417,55.860951,0.024258
Abr 97,64.523846,,0.107053,59.525156,0.027969,73.76608,0.139186,59.552375,0.090088
May 97,64.668864,,0.067967,69.751403,0.08361,73.226746,0.085304,59.524487,0.055194
Jun 97,64.252847,,0.078159,69.45201,-0.023592,71.904679,0.087763,59.616645,0.078929
Jul 97,64.763965,,0.076623,62.834229,-0.118853,75.48373,0.103301,58.782219,0.071878
Ago 97,63.988788,,0.074104,58.162668,0.012637,76.03514,0.098392,57.470564,0.060115
Sep 97,66.171047,,0.09392,55.169984,-0.002041,77.374117,0.115043,60.420147,0.084282
Oct 97,67.095117,,0.084347,62.173885,0.128199,78.342485,0.094667,60.980335,0.074582
Nov 97,66.533935,,0.067681,76.553333,-0.066998,75.853513,0.075772,60.681842,0.072836
