periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Ene 93,63.272062,,,63.743195,,,103.791704,32.321012,68.122462,56.768832,,,,,,,,
Feb 93,65.754518,,,65.129105,,,104.815112,32.33758,70.040527,59.069734,,,,,,,,
Mar 93,66.225466,,,67.030844,,,106.035047,32.150354,70.183783,59.776878,,,,,,,,
Abr 93,65.394288,,,64.937333,,,106.622372,32.249288,69.164287,59.205082,,,,,,,,
May 93,65.388202,,,64.931306,,,106.171715,32.138717,70.663808,58.820606,,,,,,,,
Jun 93,64.901136,,,62.186893,,,107.05554,31.676656,69.202238,58.517924,,,,,,,,
Jul 93,65.489996,,,64.668992,,,106.864856,31.380974,68.805229,59.753154,,,,,,,,
Ago 93,65.646416,,,66.694206,,,106.859976,30.920263,69.609644,59.977773,,,,,,,,
Sep 93,65.495639,,,67.315367,,,107.622073,30.76838,70.626439,59.610126,,,,,,,,
Oct 93,65.783575,,,66.861484,,,108.66606,30.115427,70.882545,59.908136,,,,,,,,
Nov 93,65.820709,,,65.251575,,,108.915399,29.535808,72.820521,59.319982,,,,,,,,
Dic 93,66.825409,,,67.29294,,,108.901147,29.100576,74.866836,59.916768,,,,,,,,
Ene 94,67.29867,,,67.806586,,0.063713,107.687382,28.662111,76.58284,59.774321,,,,,,,,
Feb 94,66.946636,,,66.27533,,0.040408,106.412207,28.042259,79.369457,58.250358,,,,,,,,
Mar 94,67.679952,,,68.493565,,0.034043,106.727856,28.21072,82.232558,59.024081,,,,,,,,
Abr 94,71.101125,,,70.498291,,0.046882,106.631781,28.023872,83.721802,64.344113,,,,,,,,
May 94,68.39774,,,67.891245,,0.046624,107.256185,27.65848,82.575767,60.394126,,,,,,,,
Jun 94,68.331869,,,65.746425,,0.04833,106.603631,27.726279,82.097719,60.812211,,,,,,,,
Jul 94,68.221034,,,67.431375,,0.047531,106.834724,28.04444,81.100859,60.76072,,,,,,,,
Ago 94,69.02674,,,69.935998,,0.047669,107.109755,28.142351,81.62696,62.034963,,,,,,,,
Sep 94,69.246954,,,71.00198,,0.048486,106.24354,28.586726,80.435829,62.882138,,,,,,,,
Oct 94,68.810795,,,69.998092,,0.048321,107.150644,29.343257,81.296914,61.927853,,,,,,,,
Nov 94,68.599742,,,68.24621,,0.048102,106.153819,30.084399,78.89024,62.525919,,,,,,,,
Dic 94,68.420689,,,68.89695,,0.046021,105.858665,31.131395,77.63515,61.628429,,,,,,,,
Ene 95,69.400683,,,69.816567,,0.029643,106.263058,31.763356,67.3648,65.157867,,,,,,,,
Feb 95,63.180895,,,62.544577,,-0.012834,105.004392,32.777771,54.992918,59.770068,,,,,,,,
Mar 95,62.173529,,,62.880346,,-0.036182,105.463126,33.272025,54.993882,58.318362,,,,,,,,
Abr 95,59.570258,,,58.901228,,-0.069315,105.84492,34.321343,55.198927,54.182752,,,,,,,,
May 95,59.223068,,,58.750099,,-0.082323,105.856894,34.826701,50.056932,54.743176,,,,,,,,
Jun 95,59.546278,,,57.62953,,-0.08897,107.004552,35.392535,52.249799,54.636128,,,,,,,,
