periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
Ene 93,54.56,,,70.92,,,36.19,,,64.69,,78.36,,60.34,,51.95,,65.75,,17.95,,12.2,,18.33,,53.16,,,68.4,,,60.93,,,76.61,,,35.52,,
Feb 93,55.73,0.021444,,73.2,0.032149,,35.87,-0.008842,,65.76,,81.24,,59.56,,55.47,,62.65,,18.32,,11.39,,18.92,,56.33,,,76.11,,,68.15,,,84.86,,,33.42,,
Mar 93,56.5,0.013817,,74.68,0.020219,,35.72,-0.004182,,66.59,,82.4,,62.77,,58.87,,65.65,,15.9,,11.68,,17.72,,58.23,,,76.81,,,64.98,,,89.83,,,36.71,,
Abr 93,56.0,-0.00885,,72.43,-0.030129,,36.49,0.021557,,63.82,,80.93,,62.47,,57.83,,65.98,,18.76,,26.65,,18.29,,53.71,,,68.2,,,62.13,,,74.88,,,36.94,,
May 93,57.06,0.018929,,74.71,0.031479,,36.53,0.001096,,66.0,,84.93,,60.85,,57.27,,67.19,,18.57,,32.67,,17.85,,52.49,,,69.0,,,54.83,,,84.61,,,33.37,,
Jun 93,54.9,-0.037855,,72.84,-0.02503,,34.39,-0.058582,,64.05,,83.78,,58.56,,53.88,,65.18,,17.49,,14.85,,17.69,,50.28,,,67.06,,,58.1,,,76.92,,,30.85,,
Jul 93,55.84,0.017122,,74.31,0.020181,,35.52,0.032858,,63.78,,85.67,,59.17,,54.56,,68.25,,17.84,,11.16,,18.83,,54.29,,,70.28,,,59.46,,,82.21,,,35.76,,
Ago 93,57.31,0.026325,,74.95,0.008613,,36.47,0.026745,,61.9,,90.39,,61.28,,52.5,,73.93,,17.98,,15.24,,18.18,,58.47,,,77.63,,,66.06,,,90.37,,,36.29,,
Sep 93,57.92,0.010644,,76.63,0.022415,,36.32,-0.004113,,61.82,,93.71,,60.51,,58.01,,66.15,,18.17,,12.96,,18.91,,58.23,,,78.17,,,75.02,,,81.65,,,35.14,,
Oct 93,59.21,0.022272,,77.7,0.013963,,37.77,0.039923,,60.04,,97.1,,64.9,,57.22,,75.84,,17.9,,9.21,,19.19,,59.53,,,79.84,,,60.97,,,100.63,,,36.0,,
Nov 93,61.31,0.035467,,80.72,0.038867,,38.06,0.007678,,59.66,,103.0,,64.55,,62.78,,65.43,,18.11,,15.28,,18.51,,63.85,,,79.44,,,58.08,,,102.96,,,45.79,,
Dic 93,60.96,-0.005709,,74.77,-0.073712,,45.37,0.192065,,57.56,,94.51,,78.15,,75.8,,66.64,,20.64,,20.09,,18.96,,69.77,,,87.24,,,64.91,,,111.83,,,49.54,,
Ene 94,62.39,0.023458,0.143512,83.25,0.113414,0.173858,38.78,-0.14525,0.071567,61.21,-0.053795,107.27,0.368938,62.97,0.043586,58.61,0.1282,63.94,-0.027529,20.49,0.141504,14.77,0.210656,20.71,0.129842,61.24,0.151994,0.151994,81.2,0.187135,0.187135,58.54,-0.039225,-0.039225,106.15,0.385589,0.385589,38.13,0.07348,0.07348
Feb 94,63.96,0.025164,0.147676,86.37,0.037477,0.179918,38.19,-0.015214,0.064678,63.17,-0.039386,111.62,0.373954,60.33,0.012928,54.44,-0.018569,65.45,0.044693,21.55,0.17631,19.39,0.702371,21.65,0.144292,64.42,0.143618,0.147685,89.12,0.170937,0.178604,65.04,-0.045635,-0.042609,115.64,0.362715,0.373568,35.8,0.071215,0.072382
Mar 94,65.96,0.03127,0.167434,90.44,0.047123,0.211034,38.11,-0.002095,0.066909,63.86,-0.040997,116.52,0.414078,60.6,-0.034571,55.74,-0.053168,65.05,-0.009139,21.29,0.338994,39.44,2.376712,20.69,0.167607,66.65,0.144599,0.146613,91.37,0.189559,0.182406,61.1,-0.059711,-0.048336,124.69,0.388066,0.37875,38.03,0.035958,0.059726
Abr 94,67.58,0.02456,0.206786,92.25,0.020013,0.273644,38.75,0.016793,0.061935,64.83,0.015826,122.5,0.513654,64.71,0.035857,58.67,0.014525,68.59,0.039557,21.22,0.13113,23.94,-0.101689,21.49,0.174959,65.17,0.213368,0.162805,87.56,0.283871,0.206307,63.6,0.02366,-0.030876,113.95,0.521768,0.411583,39.24,0.062263,0.060383
May 94,66.04,-0.022788,0.157378,90.65,-0.017344,0.213358,37.62,-0.029161,0.029838,63.65,-0.035606,118.56,0.395973,60.52,-0.005423,53.11,-0.072638,70.07,0.042864,20.62,0.110393,20.3,-0.378635,21.21,0.188235,61.26,0.167079,0.163624,83.89,0.215797,0.208133,53.03,-0.032829,-0.03122,117.87,0.393098,0.407775,35.05,0.050345,0.058479
Jun 94,66.28,0.003634,0.207286,90.16,-0.005405,0.237781,38.88,0.033493,0.130561,63.54,-0.007963,119.96,0.431845,62.81,0.072575,57.3,0.063474,70.81,0.086376,21.52,0.230417,17.94,0.208081,21.74,0.228943,60.8,0.209228,0.170697,82.98,0.237399,0.212745,57.78,-0.005508,-0.027173,110.74,0.439678,0.412807,35.1,0.137763,0.070306
Jul 94,66.13,-0.002263,0.184277,89.73,-0.004769,0.207509,39.0,0.003086,0.097973,64.03,0.00392,117.87,0.375861,60.69,0.025689,52.63,-0.035374,72.24,0.058462,22.24,0.246637,27.87,1.497312,21.35,0.133829,63.42,0.168171,0.170335,85.47,0.216135,0.213226,59.95,0.008241,-0.02226,113.57,0.381462,0.408285,37.89,0.059564,0.068722
Ago 94,66.59,0.006956,0.161926,90.13,0.004458,0.202535,39.32,0.008205,0.078146,65.09,0.051535,119.69,0.324151,62.7,0.023172,57.92,0.103238,72.51,-0.019207,22.02,0.224694,14.08,-0.076115,22.85,0.256876,68.97,0.179579,0.171572,93.66,0.206492,0.212314,69.65,0.054345,-0.012029,120.1,0.328981,0.397431,40.38,0.112703,0.074446
Sep 94,65.67,-0.013816,0.133805,88.45,-0.01864,0.154248,39.24,-0.002035,0.080396,66.15,0.070042,116.56,0.243837,62.37,0.030739,52.67,-0.092053,74.63,0.128193,22.18,0.220693,20.89,0.611883,22.35,0.181914,66.15,0.136012,0.16739,90.41,0.156582,0.205629,80.15,0.068382,-0.001439,101.71,0.245683,0.380732,38.06,0.083096,0.075414
Oct 94,66.57,0.013705,0.124303,89.89,0.01628,0.156885,38.98,-0.006626,0.032036,66.61,0.109427,114.86,0.182904,59.62,-0.081356,49.46,-0.135617,72.77,-0.04048,23.55,0.315642,26.43,1.869707,23.04,0.200625,66.86,0.123131,0.162641,92.54,0.159068,0.200547,67.93,0.114155,0.009736,119.64,0.18891,0.357822,37.11,0.030833,0.070829
Nov 94,65.24,-0.019979,0.0641,86.74,-0.035043,0.074579,39.98,0.025654,0.050447,66.14,0.108615,107.98,0.04835,61.32,-0.050039,49.54,-0.210895,73.28,0.119976,24.71,0.36444,26.93,0.762435,24.41,0.318747,67.99,0.064839,0.152545,85.54,0.076788,0.188423,64.55,0.111398,0.01831,108.65,0.055264,0.324876,47.67,0.041057,0.067384
Dic 94,58.16,-0.108522,-0.045932,76.04,-0.123357,0.016985,38.32,-0.041521,-0.155389,66.97,0.163482,87.07,-0.078722,61.11,-0.218042,48.1,-0.365435,69.61,0.044568,21.34,0.033915,7.96,-0.603783,21.99,0.15981,66.47,-0.047298,0.132289,88.25,0.011577,0.171246,75.15,0.157757,0.03032,102.66,-0.081999,0.281843,41.24,-0.167541,0.04125
Ene 95,51.27,-0.118466,-0.178234,71.87,-0.05484,-0.136697,28.03,-0.268528,-0.277205,65.69,0.073191,78.65,-0.266803,46.31,-0.26457,24.12,-0.588466,70.6,0.10416,14.46,-0.29429,8.44,-0.428571,14.98,-0.276678,51.03,-0.166721,-0.166721,70.88,-0.127094,-0.127094,63.74,0.088828,0.088828,78.76,-0.258031,-0.258031,28.03,-0.264883,-0.264883
Feb 95,42.34,-0.174176,-0.338024,57.38,-0.201614,-0.335649,24.99,-0.108455,-0.34564,56.82,-0.100522,58.09,-0.479574,41.87,-0.305984,19.24,-0.646583,68.41,0.045225,12.0,-0.443155,7.78,-0.598762,12.59,-0.418476,42.34,-0.342751,-0.256963,58.44,-0.344255,-0.240723,57.62,-0.114084,-0.017964,59.35,-0.486769,-0.377294,23.69,-0.338268,-0.300419
Mar 95,42.37,0.000709,-0.357641,57.23,-0.002614,-0.367205,25.65,0.026411,-0.326948,57.73,-0.095991,57.32,-0.508067,41.36,-0.317492,17.91,-0.678687,68.45,0.052267,14.18,-0.33396,8.54,-0.783469,15.73,-0.239729,43.27,-0.350788,-0.289481,57.9,-0.366313,-0.284573,55.4,-0.09329,-0.042885,60.65,-0.513594,-0.426345,26.31,-0.308178,-0.303055
Abr 95,41.51,-0.020297,-0.385765,57.19,-0.000699,-0.380054,22.33,-0.129435,-0.423742,57.37,-0.11507,56.24,-0.540898,37.15,-0.4259,15.73,-0.73189,63.32,-0.076833,12.23,-0.423657,8.33,-0.652047,13.07,-0.39181,38.35,-0.411539,-0.320374,53.36,-0.390589,-0.311152,55.13,-0.133176,-0.066014,51.41,-0.548837,-0.45666,20.96,-0.465851,-0.345304
