periodo,INPC (índice),INPC var. mensual (%),INPC inflación anual (%),Subyacente (índice),Subyacente var. mensual (%),Subyacente inflación anual (%),Mercancías var. mensual (%),Mercancías inflación anual (%),Servicios var. mensual (%),Servicios inflación anual (%),No subyacente var. mensual (%),No subyacente inflación anual (%),Agropecuarios var. mensual (%),Agropecuarios inflación anual (%),Energéticos y tarifas var. mensual (%),Energéticos y tarifas inflación anual (%),Incidencia subyacente (p.p.),Incidencia no subyacente (p.p.)
Ene 18,98.795,0.531293,5.545835,98.252014,0.283751,4.561087,0.558061,5.777404,0.044417,3.517202,1.238993,8.439625,0.029293,10.76128,1.974143,7.101367,,
Feb 18,99.171374,0.380965,5.339217,98.731688,0.488208,4.274663,0.536852,5.182968,0.445549,3.490211,0.078953,8.491229,-1.895167,9.69208,1.25577,7.809554,,
Mar 18,99.492157,0.323463,5.035412,99.057357,0.329853,4.022869,0.253656,4.637305,0.396736,3.490208,0.302932,8.02709,0.379106,7.742415,0.258937,8.192395,,
Abr 18,99.154847,-0.339032,4.550783,99.203206,0.147237,3.709564,0.331897,4.353791,-0.014621,3.14947,-1.720028,7.071345,-0.494502,5.23864,-2.428706,8.182374,,
May 18,98.99408,-0.162137,4.506269,99.458112,0.256953,3.690656,0.210207,4.074199,0.298068,3.355929,-1.377538,6.98794,-1.0702,2.871721,-1.558784,9.586673,,
Jun 18,99.376465,0.38627,4.646858,99.688327,0.23147,3.615292,0.128801,3.87966,0.321693,3.384522,0.841551,7.791677,-0.322875,2.107352,1.531653,11.399977,,
Jul 18,99.909099,0.535976,4.811406,99.974292,0.286859,3.634916,0.224457,3.990822,0.341592,3.325112,1.266213,8.381461,1.908602,1.530655,0.892452,12.856737,,
Ago 18,100.492,0.583431,4.904528,100.220344,0.246115,3.626895,0.386106,3.901135,0.092714,3.355441,1.61452,8.802117,1.899774,1.370686,1.420054,13.693492,,
Sep 18,100.917,0.422919,5.019574,100.544773,0.323716,3.669772,0.3806,3.953942,0.262106,3.377403,0.726812,9.150412,-0.213119,1.217785,1.404114,14.471202,,
Oct 18,101.44,0.518248,4.903636,100.856606,0.310143,3.729408,0.239012,3.978287,0.387274,3.483058,1.152934,8.499081,-0.701962,2.434155,2.468231,12.619568,,
Nov 18,102.303,0.850749,4.716534,101.110443,0.251681,3.633672,0.263924,3.903935,0.238426,3.366115,2.6564,8.072717,3.478029,4.78025,2.091812,10.301016,,
Dic 18,103.02,0.700859,4.830546,101.582475,0.466848,3.683082,0.338042,3.919391,0.60635,3.472665,1.393183,8.398502,4.029437,7.061474,-0.442933,9.099752,,
Ene 19,103.108,0.08542,4.365606,101.784796,0.199169,3.595633,0.30611,3.659019,0.083656,3.513248,-0.246668,6.807776,0.351918,7.406779,-0.682303,6.257682,,
Feb 19,103.079,-0.028126,3.940276,102.224173,0.431673,3.537349,0.493346,3.614162,0.364908,3.430145,-1.377917,5.252954,-4.277942,4.798078,0.754625,5.731782,,
Mar 19,103.476,0.385141,4.004178,102.57614,0.34431,3.552268,0.341929,3.705394,0.34689,3.378793,0.50647,5.466537,-0.670552,3.702212,1.328765,6.860009,,
Abr 19,103.531,0.053152,4.413453,103.043284,0.455412,3.870921,0.363196,3.737746,0.555363,3.968122,-1.146453,6.082053,0.527055,4.766854,-2.292537,7.009141,,
May 19,103.233,-0.287836,4.281993,103.212248,0.163974,3.774591,0.286847,3.817084,0.031048,3.691331,-1.658457,5.779886,0.169395,6.079587,-2.946364,5.500793,,
Jun 19,103.299,0.063933,3.947147,103.525562,0.303562,3.849232,0.231019,3.923067,0.38224,3.753912,-0.67611,4.187903,-0.179378,6.2323,-1.037345,2.831366,,
Jul 19,103.687,0.375609,3.781338,103.794405,0.259688,3.821096,0.150361,3.846237,0.378082,3.791643,0.737941,3.64439,1.999333,6.32688,-0.187323,1.730841,,
Ago 19,103.67,-0.016395,3.162441,104.005386,0.203268,3.77672,0.303801,3.761095,0.094644,3.793644,-0.700945,1.28267,-1.496182,2.783384,-0.104838,0.201276,,
Sep 19,103.942,0.262371,2.997513,104.315313,0.297992,3.75011,0.384681,3.765313,0.20413,3.733626,0.153213,0.705906,-0.024579,2.977587,0.284628,-0.904931,,
Oct 19,104.503,0.539724,3.019519,104.572028,0.246095,3.683866,0.256376,3.783288,0.234943,3.576216,1.461568,1.013175,0.108701,3.81829,2.458464,-0.914376,,
Nov 19,105.346,0.806675,2.974497,104.803658,0.221503,3.652655,0.119487,3.633781,0.332182,3.673095,2.619726,0.977089,1.844432,2.179321,3.177921,0.13975,,
Dic 19,105.934,0.558161,2.828577,105.233794,0.410421,3.594438,0.263168,3.556448,0.569841,3.635473,1.002877,0.588384,1.776892,-0.033164,0.452807,1.040732,,
Ene 20,106.447,0.484264,3.238352,105.577099,0.32623,3.725805,0.66119,3.923034,-0.035299,3.512296,0.961056,1.806218,1.829907,1.439153,0.335449,2.076141,,
Feb 20,106.889,0.41523,3.696194,105.96143,0.364029,3.655943,0.394897,3.821225,0.330482,3.47679,0.566911,3.813838,1.743618,7.820357,-0.292985,1.014791,,
Mar 20,106.838,-0.047713,3.249063,106.272453,0.293525,3.603482,0.353401,3.833094,0.228407,3.354611,-1.063905,2.191786,1.299431,9.958739,-2.826222,-3.127322,,
Abr 20,105.755,-1.013684,2.148149,106.653927,0.358958,3.504006,0.634057,4.11332,0.059404,2.844846,-5.166697,-1.964219,-0.791664,8.516294,-8.567629,-9.348802,,
May 20,106.162,0.384852,2.837271,106.97239,0.298595,3.643116,0.464478,4.297728,0.116928,2.933142,0.663365,0.350384,1.343058,9.787756,0.090071,-6.512675,,
Jun 20,106.743,0.547277,3.334011,107.365896,0.367858,3.709552,0.603763,4.685595,0.10861,2.652558,1.116028,2.161044,-2.08524,7.691594,3.849974,-1.895759,,
Jul 20,107.444,0.656718,3.623405,107.790972,0.395913,3.850464,0.63672,5.193978,0.129969,2.398823,1.483461,2.917096,-0.032972,5.545873,2.704509,0.946576,,
Ago 20,107.867,0.393693,4.048423,108.132454,0.3168,3.968129,0.465654,5.363723,0.151576,2.457066,0.63442,4.301115,0.881147,8.093157,0.441047,1.498207,,
Sep 20,108.114,0.228986,4.013777,108.473724,0.315604,3.986386,0.419148,5.399899,0.200313,2.453163,-0.039358,4.100569,0.038314,8.161156,-0.1005,1.108418,,
Oct 20,108.774,0.610467,4.086964,108.733448,0.239434,3.979477,0.292831,5.438224,0.17985,2.396851,1.772944,4.420044,1.451447,9.611908,2.026373,0.68202,,
Nov 20,108.856,0.075386,3.331878,108.641831,-0.084258,3.662251,-0.306217,4.989904,0.163703,2.224905,0.564846,2.329114,-0.396947,7.199584,1.318733,-1.132192,,
Dic 20,109.271,0.381238,3.150075,109.236711,0.54756,3.803832,0.770093,5.520728,0.300125,1.95075,-0.127271,1.184126,-1.30057,3.958155,0.776827,-0.813284,,
Ene 21,110.21,0.859331,3.535093,109.628897,0.359024,3.837762,0.551018,5.405237,0.144544,2.134167,2.40415,2.630409,0.538579,2.639838,3.812054,2.623518,,
Feb 21,110.907,0.632429,3.75904,110.060903,0.394062,3.868835,0.518708,5.535228,0.254253,2.056568,1.355032,3.434701,-0.217652,0.661292,2.504476,5.502806,,
Mar 21,111.824,0.826819,4.666879,110.653978,0.538861,4.122917,0.598457,5.792938,0.471839,2.30444,1.689706,6.313518,1.27341,0.635435,1.985889,10.727376,,
Abr 21,112.19,0.3273,6.084819,111.060931,0.36777,4.13206,0.444348,5.593503,0.281542,2.531562,0.205998,12.336613,2.607379,4.083372,-1.49058,19.297898,,
May 21,112.419,0.204118,5.893823,111.644223,0.5252,4.367326,0.619468,5.756406,0.41888,2.840796,-0.748524,10.760997,1.911554,4.667241,-2.706051,15.965184,,
Jun 21,113.018,0.532828,5.878606,112.281133,0.570482,4.578025,0.650425,5.805458,0.480139,3.222465,0.418514,9.996951,0.046762,6.946272,0.705067,12.45339,,
Jul 21,113.682,0.587517,5.805815,112.815077,0.475542,4.66097,0.575232,5.740813,0.36269,3.462372,0.927066,9.39388,0.738729,7.77185,1.07129,10.665144,,
Ago 21,113.899,0.190883,5.592072,113.296654,0.426873,4.77581,0.700548,5.98804,0.116411,3.426045,-0.519436,8.13959,1.982343,8.948263,-2.428939,7.503016,,
Sep 21,114.601,0.616336,6.000148,113.815393,0.457859,4.92439,0.676726,6.259903,0.208124,3.434107,1.098398,9.370438,1.379356,10.408746,0.874259,8.551965,,
Oct 21,115.561,0.837689,6.239543,114.377964,0.494284,5.19115,0.595988,6.581096,0.377694,3.638377,1.868283,9.472895,0.179571,9.024575,3.222224,9.824303,,
Nov 21,116.884,1.14485,7.374881,114.799064,0.368165,5.66746,0.313114,7.243214,0.43141,3.915372,3.447887,12.611316,4.480507,14.363391,2.644378,11.261234,,
Dic 21,117.308,0.362753,7.355108,115.720705,0.80283,5.935728,0.913631,7.395972,0.675686,4.304469,-0.904053,11.735457,-0.075727,15.782621,-1.560125,8.681154,,
Ene 22,118.002,0.591605,7.070139,116.432721,0.615288,6.206233,0.988817,7.863573,0.185647,4.347279,0.522629,9.682488,0.138233,15.321573,0.83168,5.560991,,
