periodo,INPP con petróleo (índice),INPP con petróleo var. mensual (%),INPP con petróleo var. anual (%),INPP con petróleo var. acumulada (%),INPP sin petróleo (índice),INPP sin petróleo var. mensual (%),INPP sin petróleo var. anual (%),INPP sin petróleo var. acumulada (%),Bienes intermedios var. anual (%),Actividades primarias var. anual (%),Agricultura var. anual (%),Minería con petróleo var. anual (%),Construcción var. anual (%),Manufacturas var. anual (%),Transportes var. anual (%)
Ene 18,94.377696,,,,94.108336,0.840824,3.384261,0.840824,3.88802,8.763042,8.763042,,7.302013,2.229363,5.049573
Feb 18,94.579311,,,,94.528183,0.446131,3.244388,1.290706,3.82828,9.455705,9.455705,,5.865571,2.187758,4.656022
Mar 18,95.051996,,,,94.948612,0.444766,3.644219,1.741213,3.793493,6.346992,6.346992,,5.881964,3.46813,4.205498
Abr 18,95.059633,,,,94.909246,-0.041461,4.001852,1.69903,4.605456,2.478436,2.478436,,7.16132,4.340165,3.413884
May 18,96.954754,,,,96.317959,1.484274,5.410278,3.208522,6.677238,1.842904,1.842904,,7.982411,6.314169,5.257582
Jun 18,98.328418,,,,97.368334,1.090529,6.95001,4.334041,8.375699,0.013075,0.013075,,9.31474,8.925691,5.591829
Jul 18,97.574069,,,,96.728121,-0.657517,6.514951,3.648027,8.245332,-2.83023,-2.83023,,10.044682,8.45208,5.211834
Ago 18,97.248581,,,,96.664656,-0.065612,6.383593,3.580022,8.263724,-0.313054,-0.313054,,10.166447,7.910701,4.880871
Sep 18,98.16581,,,,97.231934,0.586852,6.861963,4.187883,8.824397,2.774306,2.774306,,10.475853,8.089996,5.700041
Oct 18,98.740045,,,,97.591845,0.370157,6.260418,4.573542,8.442496,5.123596,5.123596,,10.012346,6.838895,5.811791
Nov 18,99.432436,,,,98.942971,1.384466,6.510434,6.021327,8.111791,4.823528,4.823528,,10.206335,7.299917,5.549866
Dic 18,99.034211,,,,99.312931,0.373913,6.417754,6.417754,7.494006,4.687725,4.687725,,10.281327,7.05417,6.02529
Ene 19,98.548322,,,,98.782161,-0.534442,4.96643,-0.534442,5.416966,3.233794,3.233794,,8.556123,4.71815,5.718524
Feb 19,98.818894,,,,98.803223,0.021322,4.522503,-0.513235,4.508363,-0.732439,-0.732439,,7.474689,4.927068,4.832047
Mar 19,99.17445,,,,98.979965,0.178883,4.245826,-0.335269,4.093672,-0.902287,-0.902287,,6.377458,4.746903,4.455738
Abr 19,99.65175,,,,99.30019,0.323524,4.626466,-0.01283,4.481904,4.516178,4.516178,,4.952996,4.735881,5.824933
May 19,99.644612,,,,99.378722,0.079086,3.17777,0.066246,2.662763,4.292202,4.292202,,4.089873,2.756137,3.744397
Jun 19,99.898362,,,,99.786409,0.410236,2.483431,0.476754,1.771385,7.745457,7.745457,,3.055739,1.382186,4.221401
Jul 19,100.0,,,,100.0,0.214048,3.382552,0.691822,2.896901,10.981451,10.981451,,2.009958,2.802121,4.802465
Ago 19,99.167145,,,,99.447305,-24.500596,-21.895543,-23.978274,1.159738,-3.37837,-30.883072,,-27.403502,-23.204754,-21.605501
Sep 19,99.925328,0.764551,1.792394,0.899808,99.960593,0.516141,2.80634,0.652142,1.129887,0.422852,0.422852,-9.290574,1.31807,3.006572,3.630577
Oct 19,99.429562,-0.496137,0.698315,0.399207,99.695996,-0.264701,2.156073,0.385715,0.04667,-0.919821,-0.919821,-17.381218,1.000872,2.213083,2.700573
Nov 19,99.579242,0.150539,0.147644,0.550347,99.872281,0.176822,0.939238,0.56322,-1.269137,-2.430225,-2.430225,-13.2432,0.213994,0.343681,2.956573
Dic 19,100.027556,0.450208,1.003033,1.003033,100.149046,0.277119,0.841899,0.841899,-1.070041,-4.223453,-4.223453,-0.395682,-0.052823,0.39638,3.235035
Ene 20,99.578806,-0.448626,1.045664,-0.448626,99.871399,-0.277234,1.102667,-0.277234,-0.821186,-7.11753,-7.11753,-3.703872,-0.388309,0.938775,3.049167
Feb 20,99.506511,-0.072601,0.695836,-0.520901,100.327454,0.456642,1.542693,0.178142,-0.35739,0.56299,0.56299,-17.842417,0.335072,0.579732,3.40654
Mar 20,101.449387,1.952512,2.293875,1.42144,102.659576,2.324511,3.717531,2.506794,1.275456,4.95,4.95,-23.919214,1.181525,3.990758,3.674098
Abr 20,102.924434,1.453973,3.284121,2.89608,104.66895,1.957317,5.406596,4.513177,2.44883,1.577042,1.577042,-31.278757,2.876671,7.346571,2.620257
May 20,102.707316,-0.210949,3.073628,2.679022,104.141031,-0.50437,4.792081,3.986044,1.451405,-1.331719,-1.331719,-23.280583,1.964334,6.225947,3.537579
Jun 20,102.578893,-0.125038,2.683258,2.550634,103.494823,-0.620513,3.716351,3.340797,1.179482,-1.999229,-1.999229,-12.141975,1.361649,4.780237,1.816506
Jul 20,103.718281,1.110744,3.718281,3.689709,104.481839,0.953687,4.481839,4.326345,2.150395,-1.299531,-1.299531,-3.811901,1.871948,6.230736,1.205273
