periodo,IGAE var. anual nowcast (%),IC95 inferior IGAE (%),IC95 superior IGAE (%),IGAE var. mensual nowcast (%),Actividades secundarias var. anual nowcast (%),IC95 inferior secundarias (%),IC95 superior secundarias (%),Actividades terciarias var. anual nowcast (%),IC95 inferior terciarias (%),IC95 superior terciarias (%),Fecha de publicación,Carácter,IGAE observado anual (%)
Ene 21,-0.04,-0.055,-0.026,,-0.037,,,-0.044,-0.059,-0.029,,,-0.052785
Feb 21,-0.04,-0.055,-0.025,,-0.042,-0.063,-0.022,-0.043,-0.06,-0.027,18 mar 2021,estimado,-0.046054
Mar 21,-0.021,-0.036,-0.006,,-0.009,-0.033,0.014,-0.031,-0.048,-0.014,19 abr 2021,estimado,0.029752
Abr 21,0.206,0.186,0.224,0.004,0.345,0.319,0.372,0.164,0.144,0.183,18 may 2021,estimado,0.260214
May 21,0.248,0.233,0.262,0.005,0.364,0.334,0.394,0.198,0.183,0.212,17 jun 2021,estimado,0.277105
Jun 21,0.147,0.134,0.161,0.003,0.144,0.117,0.171,0.14,0.126,0.153,19 jul 2021,estimado,0.138131
Jul 21,0.099,0.086,0.112,0.005,0.066,0.042,0.089,0.105,0.091,0.118,19 ago 2021,estimado,0.075729
Ago 21,0.068,0.054,0.081,-0.002,0.041,0.016,0.067,0.083,0.07,0.097,17 sep 2021,estimado,0.049504
Sep 21,0.05,0.037,0.062,0.001,0.04,0.022,0.058,0.061,0.049,0.074,20 oct 2021,estimado,0.008158
Oct 21,0.019,0.007,0.031,0.006,0.013,-0.004,0.031,0.02,0.008,0.033,18 nov 2021,estimado,-0.000917
Nov 21,0.012,-0.006,0.029,0.005,0.014,-0.003,0.031,0.011,-0.002,0.024,20 dic 2021,estimado,0.018012
Dic 21,-0.002,-0.02,0.015,0.0,0.004,-0.013,0.02,-0.013,-0.026,-0.001,18 ene 2022,estimado,0.017055
Ene 22,0.007,-0.01,0.025,-0.001,0.021,0.004,0.038,0.001,-0.012,0.014,18 feb 2022,estimado,0.017766
Feb 22,0.028,0.011,0.046,0.003,0.035,0.018,0.053,0.016,0.004,0.029,22 mar 2022,estimado,0.030016
Mar 22,0.004,-0.014,0.022,0.008,0.031,0.01,0.052,-0.003,-0.016,0.009,19 abr 2022,estimado,0.017879
Abr 22,0.018,0.0,0.037,0.004,0.025,0.004,0.046,0.014,0.001,0.026,19 may 2022,estimado,0.02378
May 22,0.01,-0.009,0.03,0.001,0.033,0.011,0.055,0.0,-0.013,0.013,21 jun 2022,estimado,0.034698
Jun 22,0.021,0.002,0.041,-0.004,0.035,0.014,0.056,0.009,-0.005,0.024,19 jul 2022,estimado,0.018472
Jul 22,0.015,-0.005,0.034,-0.001,0.027,0.006,0.047,0.008,-0.006,0.021,18 ago 2022,estimado,0.024634
Ago 22,0.029,0.008,0.049,0.0,0.031,0.008,0.053,0.026,0.012,0.041,20 sep 2022,estimado,0.058617
Sep 22,0.033,0.02,0.046,0.0,0.041,0.017,0.065,0.031,0.017,0.046,20 oct 2022,estimado,0.054706
Oct 22,0.05,0.036,0.064,0.001,0.035,0.012,0.059,0.056,0.041,0.071,18 nov 2022,estimado,0.046998
Nov 22,0.042,0.029,0.055,-0.001,0.03,0.006,0.053,0.048,0.035,0.062,19 dic 2022,estimado,0.047001
Dic 22,0.027,0.013,0.04,-0.004,0.012,-0.012,0.036,0.028,0.014,0.042,20 ene 2023,estimado,0.043541
Ene 23,0.028,0.019,0.038,0.004,0.031,0.007,0.055,0.025,0.013,0.037,17 feb 2023,estimado,0.048122
Feb 23,0.035,0.024,0.047,0.003,0.029,0.005,0.053,0.031,0.017,0.044,22 mar 2023,estimado,0.037245
Mar 23,0.032,0.022,0.043,-0.001,0.015,,,0.039,0.027,0.051,,,0.024907
Abr 23,0.026,0.017,0.035,0.004,0.017,-0.006,0.04,0.028,0.017,0.04,18 may 2023,estimado,0.017994
May 23,0.025,0.013,0.037,0.001,0.014,-0.009,0.037,0.029,0.015,0.043,19 jun 2023,estimado,0.041821
Jun 23,0.04,0.028,0.052,0.002,0.028,0.004,0.051,0.043,0.03,0.057,20 jul 2023,estimado,0.038346
Jul 23,0.034,0.025,0.043,0.002,0.032,0.008,0.056,0.036,0.024,0.047,18 ago 2023,estimado,0.030921
Ago 23,0.034,0.022,0.045,0.002,0.048,0.021,0.074,0.028,0.015,0.042,19 sep 2023,estimado,0.033174
Sep 23,0.03,0.018,0.041,0.002,0.048,0.023,0.073,0.019,0.006,0.033,19 oct 2023,estimado,0.038156
Oct 23,0.029,0.02,0.037,-0.001,0.041,0.016,0.066,0.022,0.011,0.033,21 nov 2023,estimado,0.045066
Nov 23,0.042,0.029,0.054,0.004,0.051,0.025,0.077,0.037,0.024,0.051,19 dic 2023,estimado,0.017723
Dic 23,0.026,0.013,0.039,0.001,0.027,0.002,0.051,0.022,0.009,0.036,19 ene 2024,estimado,0.005217
Ene 24,0.022,0.013,0.031,0.001,0.019,-0.006,0.043,0.02,0.009,0.031,19 feb 2024,estimado,0.023888
Feb 24,0.024,0.012,0.036,0.003,0.023,-0.002,0.048,0.026,0.012,0.039,20 mar 2024,estimado,0.044111
Mar 24,0.021,0.009,0.032,0.002,0.016,-0.009,0.042,0.025,0.011,0.038,18 abr 2024,estimado,-0.013439
Abr 24,0.017,0.009,0.026,0.001,0.016,-0.009,0.04,0.022,0.011,0.033,20 may 2024,estimado,0.054617
May 24,0.02,0.008,0.032,0.003,0.0,-0.024,0.023,0.03,0.017,0.044,20 jun 2024,estimado,0.015145
Jun 24,0.009,-0.003,0.021,0.0,-0.001,-0.025,0.022,0.016,0.002,0.03,19 jul 2024,estimado,-0.005057
Jul 24,0.011,0.002,0.02,-0.001,0.001,-0.023,0.026,0.016,0.004,0.027,19 ago 2024,estimado,0.039377
Ago 24,0.011,-0.002,0.024,0.003,0.007,-0.017,0.032,0.015,0.001,0.028,19 sep 2024,estimado,0.004806
Sep 24,0.005,-0.007,0.017,-0.001,-0.005,-0.029,0.019,0.009,-0.004,0.023,21 oct 2024,estimado,-0.000728
Oct 24,0.004,-0.005,0.013,-0.001,-0.013,-0.037,0.011,0.011,-0.001,0.022,20 nov 2024,estimado,0.007661
Nov 24,0.01,-0.002,0.022,0.001,-0.01,-0.034,0.013,0.015,0.001,0.028,19 dic 2024,estimado,0.003169
Dic 24,0.011,0.0,0.023,0.004,0.003,-0.022,0.027,0.021,0.008,0.035,21 ene 2025,estimado,-0.005289
Ene 25,0.018,0.009,0.027,0.001,-0.017,-0.041,0.006,0.028,0.017,0.04,18 feb 2025,estimado,-0.003515
Feb 25,-0.007,-0.019,0.005,0.002,-0.021,-0.044,0.002,0.004,-0.009,0.018,20 mar 2025,estimado,-0.008658
Mar 25,-0.002,-0.013,0.01,0.0,-0.003,-0.027,0.02,0.003,-0.01,0.017,22 abr 2025,estimado,0.02672
Abr 25,0.007,-0.008,0.021,0.0,-0.008,-0.032,0.016,0.015,0.004,0.026,19 may 2025,estimado,-0.016268
May 25,-0.003,-0.015,0.008,0.001,-0.011,-0.035,0.013,0.001,-0.012,0.014,19 jun 2025,estimado,-0.000608
Jun 25,0.013,0.001,0.025,0.002,-0.006,-0.03,0.018,0.02,0.007,0.033,18 jul 2025,estimado,0.009082
Jul 25,0.001,-0.008,0.01,-0.001,-0.01,-0.034,0.013,0.008,-0.003,0.019,19 ago 2025,estimado,-0.010966
Ago 25,0.002,-0.01,0.014,0.001,-0.02,-0.043,0.003,0.007,-0.006,0.02,19 sep 2025,estimado,-0.007088
Sep 25,-0.006,-0.018,0.005,0.001,-0.03,-0.053,-0.006,0.008,-0.005,0.021,21 oct 2025,estimado,0.006615
Oct 25,0.0,-0.009,0.009,0.0,-0.021,-0.044,0.001,0.009,-0.001,0.019,20 nov 2025,estimado,0.016777
Nov 25,0.0,-0.011,0.012,-0.002,-0.015,-0.037,0.007,0.008,-0.005,0.021,18 dic 2025,estimado,-0.002115
Dic 25,0.023,0.011,0.034,0.002,0.012,-0.012,0.036,0.029,0.016,0.043,21 ene 2026,estimado,0.033007
Ene 26,0.023,0.013,0.032,0.003,0.021,-0.003,0.046,0.022,0.011,0.033,20 feb 2026,estimado,-0.003766
Feb 26,0.012,0.0,0.024,0.001,-0.019,-0.042,0.004,0.019,0.006,0.032,20 mar 2026,estimado,-0.003473
Mar 26,0.005,-0.007,0.017,0.0,-0.005,-0.028,0.018,0.011,-0.003,0.024,20 abr 2026,estimado,0.012053
Abr 26,0.003,-0.006,0.012,0.003,-0.01,-0.032,0.012,0.007,-0.004,0.019,19 may 2026,estimado,0.025042
May 26,0.011,0.0,0.023,0.0,0.007,-0.015,0.029,0.017,0.003,0.031,17 jun 2026,estimado,0.010626
Jun 26,0.017,0.005,0.028,0.002,0.005,-0.017,0.027,0.022,0.008,0.035,21 jul 2026,estimado,0.028191
Jul 26,0.027,0.018,0.036,0.001,0.018,-0.005,0.042,0.028,0.017,0.039,20 ago 2026,estimado,
