periodo,Var. trimestral (%),Var. anual desest. (%),Var. anual original (%),Acumulado (%)
1T-15 P,,0.032625,0.03391,
2T-15 P,,0.031586,0.03092,
3T-15 P,,0.041089,0.04095,
4T-15 P,0.006,0.025,0.02629,
1T-16 P,0.008,0.029,0.0273,
2T-16 P,-0.003,0.014,0.03012,
3T-16 P,0.01,0.019,0.01696,
4T-16 P,0.006,0.022,0.03075,
1T-17 P,0.006,0.025,0.03443,
2T-17 P,0.006,0.03,0.01708,
3T-17 P,-0.002,0.017,0.01561,
4T-17 P,0.01,0.017,0.01793,
1T-18 P,0.011,0.024,0.01472,
2T-18 P,-0.001,0.016,0.03239,
3T-18 P,0.009,0.027,0.02822,
4T-18 P,0.003,0.019,0.01274,
1T-19 P,-0.002,0.002,0.01227,
2T-19 P,0.001,0.004,-0.01109,0.003
3T-19 P,0.001,-0.004,-0.00187,0.0
4T-19 P,0.0,-0.003,-0.0067,-0.001
1T-20 P,-0.016,-0.024,-0.00914,
2T-20 P,-0.173,-0.189,-0.18614,-0.105
3T-20 P,0.12,-0.086,-0.08322,-0.098
4T-20 P,0.031,-0.046,-0.04049,-0.085
1T-21 P,0.004,-0.029,-0.03541,
2T-21 P,0.015,0.196,0.19612,0.074
3T-21 P,-0.002,0.048,0.04291,0.064
4T-21 P,-0.001,0.01,0.00994,0.05
1T-22 P,0.009,0.016,0.01858,
2T-22 P,0.01,0.019,0.02351,0.019
3T-22 P,0.01,0.043,0.0426,0.027
4T-22 P,0.004,0.036,0.03532,0.03
1T-23 P,0.011,0.038,0.03729,
2T-23 P,0.009,0.036,0.036608,0.036
3T-23 P,0.009,0.033,,0.035
4T-23 P,0.001,0.024,,0.031
1T-24 P,0.002,0.02,,
2T-24 P,0.002,0.011,,0.015
3T-24 P,0.01,0.015,,0.014
4T-24 P,-0.006,0.006,0.006,
1T-25 P,0.002,0.006,0.008,
2T-25 P,0.007,0.012,0.001,0.009
3T-25 P,-0.003,-0.003,-0.002,0.005
4T-25 P,0.008,0.016,0.016,0.007
1T-26 P,-0.008,0.002,0.001,0.004
2T-26 P,0.015,0.021,0.022,0.012
