periodo,Primarias,Secundarias,Terciarias,Var. trim. Terciarias (%),Var. anual Terciarias (%),PIB,Var. trim. PIB (%),Var. anual PIB (%),Var. trim. Primarias (%),Var. anual Primarias (%),Var. trim. Secundarias (%),Var. anual Secundarias (%)
1T-93,469131.612,5068369.546,7401189.901,,,13759053.956,,,,,,
2T-93,491945.188,4942121.692,7643696.114,0.032766,,13889145.022,0.009455,,0.048629,,-0.024909,
3T-93,492499.834,5133706.6,7507540.588,-0.017813,,13862878.872,-0.001891,,0.001127,,0.038766,
4T-93,529808.779,5153319.18,7631081.987,0.016456,,14077352.767,0.015471,,0.075754,,0.00382,
1T-94,460415.889,5219093.507,7563238.853,-0.00889,0.021895,14100080.574,0.001614,0.024786,-0.130977,-0.018578,0.012763,0.029738
2T-94,525072.004,5273651.587,7967044.911,0.053391,0.042303,14655082.637,0.039362,0.055146,0.14043,0.067338,0.010454,0.067083
3T-94,456542.671,5385396.519,7826046.468,-0.017698,0.042425,14488831.889,-0.011344,0.045153,-0.130514,-0.073009,0.021189,0.049027
4T-94,537902.019,5345347.947,8126843.855,0.038435,0.064966,14787062.247,0.020583,0.050415,0.178208,0.015276,-0.007437,0.037263
1T-95,453727.054,5055171.535,7665270.476,-0.056796,0.01349,14043942.174,-0.050255,-0.003981,-0.156488,-0.014528,-0.054286,-0.031408
2T-95,493033.792,4510921.396,7517247.445,-0.019311,-0.056457,13287443.87,-0.053867,-0.093322,0.086631,-0.061017,-0.107662,-0.14463
3T-95,501004.415,4712732.855,7471792.751,-0.006047,-0.045266,13412238.39,0.009392,-0.074305,0.016166,0.097388,0.044738,-0.124905
4T-95,556326.176,4871957.02,7703353.153,0.030991,-0.05211,13857623.55,0.033207,-0.062855,0.110422,0.034252,0.033786,-0.088561
1T-96,499745.892,5182979.517,7700990.911,-0.000307,0.00466,14237650.096,0.027424,0.013793,-0.101703,0.101424,0.063839,0.025283
2T-96,514430.297,5121575.921,7886168.973,0.024046,0.049077,14340821.386,0.007246,0.079276,0.029384,0.043398,-0.011847,0.135372
3T-96,494418.494,5346337.34,7806071.153,-0.010157,0.044739,14412887.421,0.005025,0.074607,-0.038901,-0.013145,0.043885,0.134445
4T-96,571737.978,5533838.887,8108825.022,0.038784,0.052636,15005156.934,0.041093,0.082809,0.156385,0.027703,0.035071,0.135855
1T-97,501737.072,5474024.363,7956522.789,-0.018782,0.033182,14809591.398,-0.013033,0.040171,-0.122435,0.003984,-0.010809,0.056154
2T-97,530032.464,5652765.2,8492716.331,0.06739,0.076913,15584335.623,0.052314,0.086712,0.056395,0.030329,0.032653,0.103716
3T-97,475667.19,5910886.525,8383796.179,-0.012825,0.07401,15624252.001,0.002561,0.084047,-0.10257,-0.037926,0.045663,0.105596
4T-97,571826.382,5979006.583,8753839.24,0.044138,0.079545,16153434.161,0.033869,0.076526,0.202156,0.000155,0.011525,0.080445
1T-98,525744.592,6157924.217,8666024.219,-0.010032,0.089172,16337214.143,0.011377,0.103151,-0.080587,0.047849,0.029924,0.124935
2T-98,534956.447,6040769.573,8979968.368,0.036227,0.057373,16539597.626,0.012388,0.061296,0.017522,0.00929,-0.019025,0.06864
3T-98,521291.101,6272846.363,8861628.746,-0.013178,0.056995,16552799.275,0.000798,0.05943,-0.025545,0.095916,0.038418,0.061236
4T-98,563942.237,6161338.306,8994905.966,0.01504,0.027538,16587365.488,0.002088,0.026863,0.081818,-0.013788,-0.017776,0.030495
1T-99,576999.982,6266589.216,8858739.981,-0.015138,0.022238,16704973.282,0.00709,0.022511,0.023154,0.097491,0.017082,0.017646
2T-99,526691.521,6127831.18,9254905.826,0.04472,0.030617,16929118.024,0.013418,0.023551,-0.08719,-0.01545,-0.022143,0.014412
3T-99,504254.554,6416451.937,9190243.407,-0.006987,0.037083,17050482.211,0.007169,0.030066,-0.0426,-0.032681,0.0471,0.022893
4T-99,564425.799,6268398.904,9412020.413,0.024132,0.046372,17151190.783,0.005906,0.033991,0.119327,0.000857,-0.023074,0.017376
1T-00,555239.686,6611798.502,9430285.095,0.001941,0.064518,17649705.005,0.029066,0.056554,-0.016275,-0.037713,0.054783,0.055087
2T-00,561193.975,6479541.566,9777987.381,0.036871,0.056519,17862016.739,0.012029,0.055106,0.010724,0.065508,-0.020003,0.057396
3T-00,481213.062,6836715.502,9693429.777,-0.008648,0.054752,18020884.404,0.008894,0.056913,-0.142519,-0.045694,0.055123,0.065498
4T-00,599293.228,6418347.265,9804432.0,0.011451,0.041693,17714811.387,-0.016984,0.032862,0.24538,0.061775,-0.061194,0.023921
1T-01,537427.508,6560661.794,9520942.301,-0.028914,0.009613,17764232.953,0.00279,0.006489,-0.103231,-0.03208,0.022173,-0.007734
2T-01,599395.857,6302071.073,9847304.763,0.034278,0.007089,17874019.34,0.00618,0.000672,0.115306,0.068073,-0.039415,-0.027389
3T-01,530879.234,6588803.177,9622904.643,-0.022788,-0.007276,17761059.865,-0.00632,-0.014418,-0.114309,0.10321,0.045498,-0.036262
4T-01,643598.617,6280006.432,9678998.801,0.005829,-0.012794,17526889.778,-0.013184,-0.010608,0.212326,0.073929,-0.046867,-0.021554
1T-02,549329.157,6131828.51,9306569.484,-0.038478,-0.022516,17079137.485,-0.025547,-0.038566,-0.146472,0.022146,-0.023595,-0.065364
2T-02,589179.097,6279486.019,10004704.828,0.075015,0.015984,18016798.15,0.054901,0.007988,0.072543,-0.017045,0.024081,-0.003584
3T-02,525373.627,6506821.381,9748196.289,-0.025639,0.01302,17828003.405,-0.010479,0.003769,-0.108296,-0.010371,0.036203,-0.012443
4T-02,621291.567,6383103.751,9843188.392,0.009745,0.016963,17834460.01,0.000362,0.017548,0.182571,-0.03466,-0.019014,0.016417
