periodo,Reserva internacional,Cambio semanal,Cambio YTD,Variación anual
2018-01-05,172904.4,,,
2018-01-12,172951.2,46.8,,
2018-01-19,173021.5,70.3,,
2018-01-26,173194.6,173.1,,
2018-02-02,172990.7,-203.9,,
2018-02-09,172796.8,-193.9,,
2018-02-16,173024.2,227.4,,
2018-02-23,172910.3,-113.9,,
2018-03-02,173004.5,94.2,,
2018-03-09,172992.7,-11.8,,
2018-03-16,173033.6,40.9,,
2018-03-23,173220.0,186.4,,
2018-03-28,173231.6,11.6,,
2018-04-06,173276.7,45.1,,
2018-04-13,173397.1,120.4,,
2018-04-20,173256.5,-140.6,,
2018-04-27,173068.4,-188.1,,
2018-05-04,173060.0,-8.4,,
2018-05-11,173111.4,51.4,,
2018-05-18,172912.9,-198.5,,
2018-05-25,173118.0,205.1,,
2018-06-01,173249.9,131.9,,
2018-06-08,173275.7,25.8,,
2018-06-15,173172.1,-103.6,,
2018-06-22,173177.4,5.3,,
2018-06-29,173211.4,34.0,,
2018-07-06,173362.4,151.0,,
2018-07-13,173295.9,-66.5,,
2018-07-20,173272.9,-23.0,,
2018-07-27,173238.1,-34.8,,
2018-08-03,173287.0,48.9,,
2018-08-10,173351.4,64.4,,
2018-08-17,173329.0,-22.4,,
2018-08-24,173569.5,240.5,,
2018-08-31,173606.1,36.6,,
2018-09-07,173516.2,-89.9,,
2018-09-14,173554.3,38.1,,
2018-09-21,173568.4,14.1,,
2018-09-28,173566.1,-2.3,,
2018-10-05,173391.2,-174.9,,
2018-10-12,173649.4,258.2,,
2018-10-19,173634.8,-14.6,,
2018-10-26,173582.4,-52.4,,
2018-11-01,173632.9,50.5,,
2018-11-09,173560.8,-72.1,,
2018-11-16,173851.4,290.6,,
2018-11-23,173907.4,56.0,,
2018-11-30,173775.3,-132.1,,
2018-12-07,174118.0,342.7,,
2018-12-14,174081.1,-36.9,,
2018-12-21,174393.7,312.6,,
2018-12-28,174609.1,215.4,,
2019-01-04,174937.4,328.3,328.3,0.011758
2019-01-11,175091.0,153.6,481.9,0.012372
2019-01-18,175029.4,-61.6,420.3,0.011605
2019-01-25,175155.9,126.5,546.8,0.011324
2019-02-01,175522.9,367.0,913.8,0.014638
2019-02-08,175511.0,-11.9,901.9,0.015707
2019-02-15,175500.7,-10.3,891.6,0.014313
2019-02-22,175693.9,193.2,1084.8,0.016099
2019-03-01,175646.3,-47.6,1037.2,0.01527
2019-03-08,175767.4,121.1,1158.3,0.016039
2019-03-15,176045.1,277.7,1436.0,0.017404
2019-03-22,176475.9,430.8,1866.8,0.018796
2019-03-29,176648.6,172.7,2039.5,0.019725
2019-04-05,176466.3,-182.3,1857.2,0.018408
2019-04-12,176465.0,-1.3,1855.9,0.017693
2019-04-17,176455.2,-9.8,1846.1,0.017636
2019-04-26,176660.7,205.5,2051.6,0.020757
2019-05-03,176695.7,35.0,2086.6,0.021008
2019-05-10,176924.2,228.5,2315.1,0.022025
2019-05-17,177090.9,166.7,2481.8,0.024162
2019-05-24,177322.3,231.4,2713.2,0.024286
2019-05-31,177855.9,533.6,3246.8,0.026586
2019-06-07,178290.6,434.7,3681.5,0.028942
2019-06-14,178298.7,8.1,3689.6,0.029604
2019-06-21,178601.2,302.5,3992.1,0.031319
2019-06-28,178867.6,266.4,4258.5,0.032655
2019-07-05,178739.5,-128.1,4130.4,0.031017
2019-07-12,178754.8,15.3,4145.7,0.0315
2019-07-19,179020.2,265.4,4411.1,0.033169
2019-07-26,178920.9,-99.3,4311.8,0.032803
2019-08-02,179397.3,476.4,4788.2,0.035261
2019-08-09,179814.8,417.5,5205.7,0.037285
2019-08-16,180243.0,428.2,5633.9,0.039889
2019-08-23,180263.4,20.4,5654.3,0.038566
2019-08-30,180377.0,113.6,5767.9,0.039002
2019-09-06,180456.0,79.0,5846.9,0.039995
2019-09-13,179747.1,-708.9,5138.0,0.035682
2019-09-20,180019.2,272.1,5410.1,0.037166
2019-09-27,180212.6,193.4,5603.5,0.038294
2019-10-04,180796.1,583.5,6187.0,0.042706
2019-10-11,180324.1,-472.0,5715.0,0.038438
2019-10-18,180461.9,137.8,5852.8,0.039319
2019-10-25,180432.5,-29.4,5823.4,0.039463
2019-11-01,180727.5,295.0,6118.4,0.04086
2019-11-08,180277.8,-449.7,5668.7,0.038701
2019-11-15,180566.9,289.1,5957.8,0.038628
2019-11-22,180557.2,-9.7,5948.1,0.038238
2019-11-29,180597.3,40.1,5988.2,0.039258
2019-12-06,180469.4,-127.9,5860.3,0.036478
2019-12-13,180616.4,147.0,6007.3,0.037542
2019-12-20,180512.3,-104.1,5903.2,0.035085
2019-12-27,180749.5,237.2,6140.4,0.035167
2020-01-03,181177.1,427.6,427.6,0.035668
2020-01-10,181132.9,-44.2,383.4,0.034507
2020-01-17,181210.3,77.4,460.8,0.035313
2020-01-24,182402.5,1192.2,1653.0,0.041372
2020-01-31,182796.4,393.9,2046.9,0.041439
2020-02-07,182602.9,-193.5,1853.4,0.040407
2020-02-14,182659.7,56.8,1910.2,0.040792
2020-02-21,183336.9,677.2,2587.4,0.043502
2020-02-28,184249.6,912.7,3500.1,0.048981
2020-03-06,185570.9,1321.3,4821.4,0.055775
2020-03-13,184619.0,-951.9,3869.5,0.048703
2020-03-20,184174.5,-444.5,3425.0,0.043624
2020-03-27,185508.5,1334.0,4759.0,0.050156
2020-04-03,185556.9,48.4,4807.4,0.051515
2020-04-08,185617.6,60.7,4868.1,0.051859
2020-04-17,185942.8,325.2,5193.3,0.053768
2020-04-24,186128.2,185.4,5378.7,0.053591
2020-04-30,186655.4,527.2,5905.9,0.056576
2020-05-08,186642.7,-12.7,5893.2,0.05493
2020-05-15,186921.9,279.2,6172.4,0.055514
2020-05-22,187171.8,249.9,6422.3,0.055546
2020-05-29,187315.6,143.8,6566.1,0.053187
2020-06-05,187247.2,-68.4,6497.7,0.050236
2020-06-12,188105.2,858.0,7355.7,0.055
2020-06-19,188276.6,171.4,7527.1,0.054173
2020-06-26,188941.5,664.9,8192.0,0.05632
2020-07-03,190546.3,1604.8,9796.8,0.066056
2020-07-10,191121.8,575.5,10372.3,0.069184
2020-07-17,191468.4,346.6,10718.9,0.069535
2020-07-24,192292.2,823.8,11542.7,0.074733
2020-07-31,192605.6,313.4,11856.1,0.073626
2020-08-07,192653.7,48.1,11904.2,0.071401
2020-08-14,192531.0,-122.7,11781.5,0.068175
2020-08-21,193130.3,599.3,12380.8,0.071378
2020-08-28,193267.1,136.8,12517.6,0.071462
2020-09-04,193250.6,-16.5,12501.1,0.070901
2020-09-11,193315.5,64.9,12566.0,0.075486
2020-09-18,193795.8,480.3,13046.3,0.076529
2020-09-25,193883.1,87.3,13133.6,0.075858
2020-10-02,193991.1,108.0,13241.6,0.072983
2020-10-09,194026.0,34.9,13276.5,0.075985
2020-10-16,194029.3,3.3,13279.8,0.075182
2020-10-23,194471.0,441.7,13721.5,0.077805
2020-10-30,194351.1,-119.9,13601.6,0.075382
2020-11-06,194698.3,347.2,13948.8,0.07999
2020-11-13,194360.8,-337.5,13611.3,0.076392
2020-11-20,194379.8,19.0,13630.3,0.076555
2020-11-27,194287.8,-92.0,13538.3,0.075807
2020-12-04,194359.1,71.3,13609.6,0.076964
2020-12-11,195340.6,981.5,14591.1,0.081522
2020-12-18,195441.2,100.6,14691.7,0.082703
2020-12-24,195479.1,37.9,14729.6,0.082913
2020-12-31,195667.2,188.1,14917.7,0.082532
2021-01-08,195517.8,-149.4,-149.4,0.079416
2021-01-15,195438.1,-79.7,-229.1,0.078515
2021-01-22,195957.2,519.1,290.0,0.074312
2021-01-29,195946.1,-11.1,278.9,0.071936
2021-02-05,195726.3,-219.8,59.1,0.071869
2021-02-12,195812.1,85.8,144.9,0.072005
2021-02-19,195609.5,-202.6,-57.7,0.06694
2021-02-26,195269.5,-340.0,-397.7,0.05981
2021-03-05,195056.8,-212.7,-610.4,0.051117
2021-03-12,194973.5,-83.3,-693.7,0.056086
2021-03-19,194938.5,-35.0,-728.7,0.058445
2021-03-26,194933.5,-5.0,-733.7,0.050806
2021-03-31,194774.2,-159.3,-893.0,0.049948
2021-04-09,195002.2,228.0,-665.0,0.050559
2021-04-16,195246.7,244.5,-420.5,0.050036
2021-04-23,195373.1,126.4,-294.1,0.04967
2021-04-30,195267.6,-105.5,-399.6,0.04614
2021-05-07,195129.1,-138.5,-538.1,0.045469
2021-05-14,194645.0,-484.1,-1022.2,0.041317
2021-05-21,194380.9,-264.1,-1286.3,0.038516
2021-05-28,194168.7,-212.2,-1498.5,0.036586
2021-06-04,193769.9,-398.8,-1897.3,0.034835
2021-06-11,193467.4,-302.5,-2199.8,0.028506
2021-06-18,192826.9,-640.5,-2840.3,0.024168
2021-06-25,192886.0,59.1,-2781.2,0.020877
2021-07-02,193020.4,134.4,-2646.8,0.012984
2021-07-09,193188.2,167.8,-2479.0,0.010812
2021-07-16,193231.4,43.2,-2435.8,0.009208
2021-07-23,193215.1,-16.3,-2452.1,0.004799
2021-07-30,193423.7,208.6,-2243.5,0.004248
2021-08-06,193278.4,-145.3,-2388.8,0.003243
2021-08-13,193213.6,-64.8,-2453.6,0.003545
2021-08-20,193153.7,-59.9,-2513.5,0.000121
2021-08-27,205391.4,12237.7,9724.2,0.062733
2021-09-03,205559.0,167.6,9891.8,0.063691
2021-09-10,198537.8,-7021.2,2870.6,0.027014
2021-09-17,198401.6,-136.2,2734.4,0.023766
2021-09-24,198216.0,-185.6,2548.8,0.022348
2021-10-01,198560.2,344.2,2893.0,0.023553
2021-10-08,198482.1,-78.1,2814.9,0.022967
2021-10-15,198522.3,40.2,2855.1,0.023156
2021-10-22,198545.7,23.4,2878.5,0.020953
2021-10-29,198850.4,304.7,3183.2,0.02315
2021-11-05,198919.7,69.3,3252.5,0.021682
2021-11-12,198788.1,-131.6,3120.9,0.022779
2021-11-19,198585.8,-202.3,2918.6,0.021638
2021-11-26,199310.1,724.3,3642.9,0.02585
2021-12-03,199993.0,682.9,4325.8,0.028987
2021-12-10,201440.6,1447.6,5773.4,0.031228
2021-12-17,202303.4,862.8,6636.2,0.035111
2021-12-24,202273.5,-29.9,6606.3,0.034758
2021-12-31,202399.2,125.7,6732.0,0.034405
2022-01-07,201952.8,-446.4,-446.4,0.032913
2022-01-14,202099.7,146.9,-299.5,0.034085
2022-01-21,201995.6,-104.1,-403.6,0.030815
2022-01-28,201583.4,-412.2,-815.8,0.02877
2022-02-04,201698.2,114.8,-701.0,0.030511
2022-02-11,201437.7,-260.5,-961.5,0.02873
2022-02-18,201500.8,63.1,-898.4,0.030118
2022-02-25,201399.1,-101.7,-1000.1,0.03139
2022-03-04,201687.1,288.0,-712.1,0.033992
2022-03-11,201374.6,-312.5,-1024.6,0.032831
2022-03-18,200975.8,-398.8,-1423.4,0.03097
2022-03-25,200530.4,-445.4,-1868.8,0.028712
2022-04-01,200725.5,195.1,-1673.7,0.030555
2022-04-08,200145.7,-579.8,-2253.5,0.026377
2022-04-13,200087.8,-57.9,-2311.4,0.02608
2022-04-22,199504.7,-583.1,-2894.5,0.021147
2022-04-29,199174.6,-330.1,-3224.6,0.020008
2022-05-06,198797.6,-377.0,-3601.6,0.0188
2022-05-13,198723.7,-73.9,-3675.5,0.020955
2022-05-20,199187.1,463.4,-3212.1,0.024726
2022-05-27,199558.0,370.9,-2841.2,0.027756
2022-06-03,199310.7,-247.3,-3088.5,0.028595
2022-06-10,198742.4,-568.3,-3656.8,0.027266
2022-06-17,198194.0,-548.4,-4205.2,0.027834
2022-06-24,198506.7,312.7,-3892.5,0.02914
2022-07-01,198768.6,261.9,-3630.6,0.02978
2022-07-08,198412.8,-355.8,-3986.4,0.027044
2022-07-15,198473.3,60.5,-3925.9,0.027128
2022-07-22,198854.8,381.5,-3544.4,0.029189
2022-07-29,199479.8,625.0,-2919.4,0.03131
2022-08-05,199314.2,-165.6,-3085.0,0.031229
2022-08-12,199404.8,90.6,-2994.4,0.032043
2022-08-19,199002.7,-402.1,-3396.5,0.030282
2022-08-26,198761.0,-241.7,-3638.2,-0.032282
2022-09-02,198474.0,-287.0,-3925.2,-0.034467
2022-09-09,198294.5,-179.5,-4104.7,-0.001225
2022-09-15,197868.9,-425.6,-4530.3,-0.003369
2022-09-23,197199.6,-669.3,-5199.6,-0.005128
2022-09-30,196917.5,-282.1,-5481.7,-0.008273
2022-10-07,196963.2,45.7,-5436.0,-0.007653
2022-10-14,196559.8,-403.4,-5839.4,-0.009886
2022-10-21,196227.2,-332.6,-6172.0,-0.011677
2022-10-28,196890.2,663.0,-5509.0,-0.009858
2022-11-04,196705.9,-184.3,-5693.3,-0.011129
2022-11-11,197861.0,1155.1,-4538.2,-0.004664
2022-11-18,198183.5,322.5,-4215.7,-0.002026
2022-11-25,198043.8,-139.7,-4355.4,-0.006353
2022-12-02,198890.2,846.4,-3509.0,-0.005514
2022-12-09,199209.4,319.2,-3189.8,-0.011076
2022-12-16,199437.7,228.3,-2961.5,-0.014165
2022-12-23,199182.8,-254.9,-3216.4,-0.01528
2022-12-30,199094.2,-88.6,-3305.0,-0.016329
2023-01-06,199720.0,625.8,625.8,-0.011056
2023-01-13,200620.0,900.0,1525.8,-0.007322
2023-01-20,200889.0,269.0,1794.8,-0.005478
2023-01-27,200994.5,105.5,1900.3,-0.002921
2023-02-03,201276.3,281.8,2182.1,-0.002092
2023-02-10,200689.3,-587.0,1595.1,-0.003715
2023-02-17,200374.1,-315.2,1279.9,-0.005592
2023-02-24,200083.2,-290.9,989.0,-0.006534
2023-03-03,200267.5,184.3,1173.3,-0.007039
2023-03-10,200566.6,299.1,1472.4,-0.004012
2023-03-17,201972.3,1405.7,2878.1,0.004958
2023-03-24,202468.7,496.4,3374.5,0.009666
2023-03-31,202337.6,-131.1,3243.4,0.008031
2023-04-05,203089.1,751.5,3994.9,0.011775
2023-04-14,202990.7,-98.4,3896.5,0.014508
2023-04-21,202672.7,-318.0,3578.5,0.015879
2023-04-28,203104.0,431.3,4009.8,0.019728
2023-05-05,203510.2,406.2,4416.0,0.023706
2023-05-12,203450.9,-59.3,4356.7,0.023788
2023-05-19,202832.3,-618.6,3738.1,0.0183
2023-05-26,202511.8,-320.5,3417.6,0.014802
2023-06-02,203019.5,507.7,3925.3,0.018608
2023-06-09,202993.9,-25.6,3899.7,0.021392
2023-06-16,203262.1,268.2,4167.9,0.025571
2023-06-23,203268.5,6.4,4174.3,0.023988
2023-06-30,203209.3,-59.2,4115.1,0.022341
2023-07-07,203071.1,-138.2,3976.9,0.023478
2023-07-14,204129.8,1058.7,5035.6,0.0285
2023-07-21,204163.5,33.7,5069.3,0.026696
2023-07-28,204099.1,-64.4,5004.9,0.023157
2023-08-04,203888.6,-210.5,4794.4,0.022951
2023-08-11,203860.6,-28.0,4766.4,0.022346
2023-08-18,203481.5,-379.1,4387.3,0.022506
2023-08-25,203719.4,237.9,4625.2,0.024947
2023-09-01,204247.4,528.0,5153.2,0.029089
2023-09-08,203920.0,-327.4,4825.8,0.028369
2023-09-15,204177.7,257.7,5083.5,0.031884
2023-09-22,204141.0,-36.7,5046.8,0.0352
2023-09-29,203767.6,-373.4,4673.4,0.034787
2023-10-06,203496.9,-270.7,4402.7,0.033172
2023-10-13,204127.1,630.2,5032.9,0.038499
2023-10-20,203999.6,-127.5,4905.4,0.039609
2023-10-27,204220.4,220.8,5126.2,0.03723
2023-11-03,204983.9,763.5,5889.7,0.042083
2023-11-10,205262.2,278.3,6168.0,0.037406
2023-11-17,205623.1,360.9,6528.9,0.037539
2023-11-24,206277.6,654.5,7183.4,0.041576
2023-12-01,207120.0,842.4,8025.8,0.041379
2023-12-08,209287.1,2167.1,10192.9,0.050588
2023-12-15,210887.9,1600.8,11793.7,0.057412
2023-12-22,211509.4,621.5,12415.2,0.061886
2023-12-29,212761.9,1252.5,13667.7,0.068649
2024-01-05,212408.1,-353.8,-353.8,0.063529
2024-01-12,212723.2,315.1,-38.7,0.060329
2024-01-19,212769.0,45.8,7.1,0.059137
2024-01-26,212886.7,117.7,124.8,0.059167
2024-02-02,213463.9,577.2,702.0,0.060552
2024-02-09,213176.7,-287.2,414.8,0.062223
2024-02-16,213060.8,-115.9,298.9,0.063315
2024-02-23,213478.8,418.0,716.9,0.06695
2024-03-01,213902.6,423.8,1140.7,0.068084
2024-03-08,216800.5,2897.9,4038.6,0.08094
2024-03-15,216492.0,-308.5,3730.1,0.07189
2024-03-22,216903.0,411.0,4141.1,0.071292
2024-03-27,217193.8,290.8,4431.9,0.072728
2024-04-05,217298.7,104.9,4536.8,0.069967
2024-04-12,217185.5,-113.2,4423.6,0.069928
2024-04-19,217260.5,75.0,4498.6,0.071977
2024-04-26,217247.8,-12.7,4485.9,0.069638
2024-05-03,217712.6,464.8,4950.7,0.069787
2024-05-10,218229.2,516.6,5467.3,0.072638
2024-05-17,218952.9,723.7,6191.0,0.079477
2024-05-24,218739.3,-213.6,5977.4,0.080131
2024-05-31,218726.3,-13.0,5964.4,0.077366
2024-06-07,219273.4,547.1,6511.5,0.080197
2024-06-14,219728.5,455.1,6966.6,0.081011
2024-06-21,220044.6,316.1,7282.7,0.082532
2024-06-28,219996.9,-47.7,7235.0,0.082612
2024-07-05,220389.2,392.3,7627.3,0.085281
2024-07-12,221184.2,795.0,8422.3,0.083547
2024-07-19,221621.3,437.1,8859.4,0.085509
2024-07-26,221725.3,104.0,8963.4,0.086361
2024-08-02,223162.3,1437.0,10400.4,0.094531
2024-08-09,223232.8,70.5,10470.9,0.095027
2024-08-16,223998.3,765.5,11236.4,0.100829
2024-08-23,224709.1,710.8,11947.2,0.103032
2024-08-30,224777.9,68.8,12016.0,0.100518
2024-09-06,225426.9,649.0,12665.0,0.105467
2024-09-13,226108.8,681.9,13346.9,0.107412
2024-09-20,226464.8,356.0,13702.9,0.109355
2024-09-27,226845.8,381.0,14083.9,0.113257
2024-10-04,226317.5,-528.3,13555.6,0.112142
2024-10-11,226002.4,-315.1,13240.5,0.107165
2024-10-18,226436.1,433.7,13674.2,0.109983
2024-10-25,226066.9,-369.2,13305.0,0.106975
2024-11-01,226023.6,-43.3,13261.7,0.102641
2024-11-08,226057.7,34.1,13295.8,0.101312
2024-11-15,225361.3,-696.4,12599.4,0.095992
2024-11-22,225528.0,166.7,12766.1,0.093323
2024-11-29,228392.2,2864.2,15630.3,0.102705
2024-12-06,228753.3,361.1,15991.4,0.093012
2024-12-13,228654.3,-99.0,15892.4,0.084246
2024-12-20,228220.9,-433.4,15459.0,0.079011
2024-12-27,228789.4,568.5,16027.5,0.075331
2025-01-03,229016.9,227.5,227.5,0.078193
2025-01-10,228920.8,-96.1,131.4,0.076144
2025-01-17,229505.2,584.4,715.8,0.078659
2025-01-24,230253.7,748.5,1464.3,0.081579
2025-01-31,230764.0,510.3,1974.6,0.081045
2025-02-07,231400.4,636.4,2611.0,0.085486
2025-02-14,232724.1,1323.7,3934.7,0.09229
2025-02-21,233909.7,1185.6,5120.3,0.095705
2025-02-28,234346.8,437.1,5557.4,0.095577
2025-03-07,235940.4,1593.6,7151.0,0.088283
2025-03-14,236287.6,347.2,7498.2,0.091438
2025-03-21,236731.5,443.9,7942.1,0.091416
2025-03-28,237006.1,274.6,8216.7,0.091219
2025-04-04,237803.7,797.6,9014.3,0.094363
2025-04-11,237982.8,179.1,9193.4,0.095758
2025-04-16,238937.3,954.5,10147.9,0.100153
2025-04-25,239137.9,200.6,10348.5,0.100761
2025-05-02,239319.1,181.2,10529.7,0.099243
2025-05-09,239627.1,308.0,10837.7,0.098052
2025-05-16,238922.9,-704.2,10133.5,0.091207
2025-05-23,239884.8,961.9,11095.4,0.09667
2025-05-30,239981.6,96.8,11192.2,0.097178
2025-06-06,240443.2,461.6,11653.8,0.096545
2025-06-13,241212.0,768.8,12422.6,0.097773
2025-06-20,241300.2,88.2,12510.8,0.096597
2025-06-27,241480.1,179.9,12690.7,0.097652
2025-07-04,241880.1,400.0,13090.7,0.097513
2025-07-11,241911.5,31.4,13122.1,0.093711
2025-07-18,242086.4,174.9,13297.0,0.092343
2025-07-25,242343.9,257.5,13554.5,0.092992
2025-08-01,242515.6,171.7,13726.2,0.086723
2025-08-08,243222.3,706.7,14432.9,0.089546
2025-08-15,243108.9,-113.4,14319.5,0.085316
2025-08-22,243363.1,254.2,14573.7,0.083014
2025-08-29,244399.0,1035.9,15609.6,0.087291
2025-09-05,245465.4,1066.4,16676.0,0.088891
2025-09-12,246266.1,800.7,17476.7,0.089149
2025-09-19,246528.4,262.3,17739.0,0.088595
2025-09-26,246831.7,303.3,18042.3,0.088103
2025-10-03,247733.4,901.7,18944.0,0.094628
2025-10-10,248249.1,515.7,19459.7,0.098436
2025-10-17,249743.9,1494.8,20954.5,0.102933
2025-10-24,249340.9,-403.0,20551.5,0.102952
2025-10-31,248852.0,-488.9,20062.6,0.101
2025-11-07,248854.7,2.7,20065.3,0.100846
2025-11-14,249077.9,223.2,20288.5,0.105238
2025-11-21,249247.2,169.3,20457.8,0.105172
2025-11-28,250205.9,958.7,21416.5,0.09551
2025-12-05,250451.9,246.0,21662.5,0.094856
2025-12-11,250524.6,72.7,21735.2,0.095174
2025-12-19,251237.7,713.1,22448.3,0.100853
2025-12-26,252129.6,891.9,23340.2,0.102016
2026-01-02,251827.6,-302.0,-302.0,0.099603
2026-01-09,252564.2,736.6,434.6,0.103282
2026-01-16,253224.0,659.8,1094.4,0.103348
2026-01-23,254983.3,1759.3,2853.7,0.107402
2026-01-30,255605.2,621.9,3475.6,0.107648
2026-02-06,255428.5,-176.7,3298.9,0.103838
2026-02-13,256241.5,813.0,4111.9,0.101053
2026-02-20,256649.3,407.8,4519.7,0.097215
2026-02-27,257815.2,1165.9,5685.6,0.100144
2026-03-06,257020.9,-794.3,4891.3,0.089347
2026-03-13,256365.3,-655.6,4235.7,0.084971
2026-03-20,254447.8,-1917.5,2318.2,0.074837
2026-03-27,254070.3,-377.5,1940.7,0.071999
2026-04-01,255488.8,1418.5,3359.2,0.077984
2026-04-10,256213.3,724.5,4083.7,0.076604
2026-04-17,257131.1,917.8,5001.5,0.076145
2026-04-24,256543.1,-588.0,4413.5,0.072783
2026-04-30,256263.9,-279.2,4134.3,0.071616
2026-05-08,257029.9,766.0,4900.3,0.072625
2026-05-15,255758.4,-1271.5,3628.8,0.070464
2026-05-22,255815.5,57.1,3685.9,0.06641
2026-05-29,256599.9,784.4,4470.3,0.069248
2026-06-05,255731.3,-868.6,3601.7,0.063583
2026-06-12,255182.7,-548.6,3053.1,0.057919
2026-06-19,255235.6,52.9,3106.0,0.057751
2026-06-26,255180.7,-54.9,3051.1,0.056736
2026-07-03,255496.4,315.7,3366.8,0.056294
2026-07-10,255321.8,-174.6,3192.2,0.055435
2026-07-17,255330.4,8.6,3200.8,0.054708
2026-07-24,255296.8,-33.6,3167.2,0.053448
2026-07-31,255498.1,201.3,3368.5,0.053533
2026-08-07,257087.4,1589.3,4957.8,0.057006
2026-08-14,257416.8,329.4,5287.2,0.058854
2026-08-21,258608.8,1192.0,6479.2,0.062646
2026-08-28,258564.1,-44.7,6434.5,0.057959
