periodo,Indicador Coincidente (puntos),Indicador Adelantado (puntos),Dif. mensual Coincidente (puntos),Dif. a 12 meses Coincidente (puntos),Dif. mensual Adelantado (puntos),Dif. a 12 meses Adelantado (puntos),Comp. Coincidente: IGAE (puntos),Comp. Coincidente: Actividad industrial (puntos),Comp. Coincidente: Ingresos por suministro de bienes y servicios al por menor (puntos),Comp. Coincidente: Asegurados permanentes en el IMSS (puntos),"Comp. Coincidente: Tasa de desocupación urbana (serie inversa, puntos)",Comp. Coincidente: Importaciones totales (puntos),Comp. Adelantado: Tendencia del empleo en las manufacturas (puntos),Comp. Adelantado: Momento adecuado para invertir (puntos),Comp. Adelantado: Índice de Precios y Cotizaciones de la BMV real (puntos),"Comp. Adelantado: Tipo de cambio real bilateral con EUA (serie inversa, puntos)","Comp. Adelantado: TIIE (serie inversa, puntos)",Comp. Adelantado: S&P 500 de EUA (puntos)
Ene 80,97.603173,101.158347,,,,,97.077684,98.587173,,97.319694,,96.012425,100.456177,,,101.941389,99.495265,100.01544
Feb 80,97.863802,101.228048,0.260629,,0.069701,,97.248456,98.620119,,97.457849,,96.643527,100.496514,,,101.679166,99.512222,99.905774
Mar 80,98.126061,101.300188,0.262259,,0.07214,,97.428278,98.656039,,97.58938,,97.275314,100.519198,,,101.415867,99.525956,99.815604
Abr 80,98.392957,101.426442,0.266897,,0.126254,,97.611076,98.701128,,97.720654,,97.912537,100.5647,,,101.147129,99.529944,99.823788
May 80,98.678795,101.657094,0.285837,,0.230652,,97.826522,98.769033,,97.861007,,98.555968,100.709344,,,100.867318,99.520739,99.971657
Jun 80,98.997183,101.984532,0.318388,,0.327438,,98.093505,98.871028,,98.023399,,99.213316,100.953386,,,100.572872,99.50088,100.238754
Jul 80,99.354573,102.353652,0.35739,,0.36912,,98.401767,99.018391,,98.217446,,99.898045,101.227689,,,100.267224,99.481052,100.569468
Ago 80,99.749883,102.709302,0.39531,,0.35565,,98.743919,99.22478,,98.445128,,100.597885,101.474909,,,99.963548,99.473849,100.907912
Sep 80,100.169156,102.99563,0.419273,,0.286328,,99.11491,99.474578,,98.696641,,101.291187,101.610715,,,99.667934,99.487202,101.211667
Oct 80,100.595093,103.181133,0.425937,,0.185503,,99.513266,99.753721,,98.961184,,101.939694,101.581897,,,99.37602,99.52111,101.450194
Nov 80,101.003626,103.282911,0.408533,,0.101778,,99.912641,100.041046,,99.231365,,102.50843,101.443181,,,99.081114,99.570081,101.599696
Dic 80,101.383315,103.335998,0.379689,,0.053087,,100.294977,100.321862,,99.519037,,102.975587,101.286133,,,98.780384,99.62748,101.647448
Ene 81,101.736931,103.386362,0.353616,4.133759,0.050364,2.228015,100.670598,100.588009,,99.83847,,103.335084,101.197989,,106.952153,98.480585,99.678867,101.614377
Feb 81,102.060037,103.297943,0.323106,4.196235,-0.088419,2.069895,101.023649,100.838095,,100.187992,,103.589263,101.198674,,106.502529,98.193574,99.712999,101.528399
Mar 81,102.355169,103.233329,0.295132,4.229108,-0.064614,1.933141,101.34911,101.073479,,100.55915,,103.759695,101.303176,,106.051782,97.925941,99.727939,101.415756
Abr 81,102.622519,103.177459,0.26735,4.229562,-0.055871,1.751017,101.651244,101.289492,,100.943042,,103.856387,101.485779,,105.594574,97.679798,99.7273,101.265239
May 81,102.860313,103.077596,0.237794,4.181518,-0.099863,1.420502,101.90494,101.48141,,101.330218,,103.911966,101.604639,,105.122658,97.45354,99.71915,101.065353
Jun 81,103.074937,102.926526,0.214624,4.077754,-0.15107,0.941994,102.110513,101.651922,,101.710752,,103.957181,101.632068,,104.64142,97.240665,99.711607,100.817042
Jul 81,103.276197,102.711092,0.20126,3.921624,-0.215434,0.35744,102.284513,101.801915,,102.072578,,104.023248,101.51966,,104.157259,97.03708,99.708954,100.52059
Ago 81,103.464316,102.443529,0.188118,3.714433,-0.267563,-0.265773,102.435834,101.923297,,102.403093,,104.122772,101.29563,,103.672064,96.849934,99.709416,100.19024
